reaction_id,equation,gpr,g0,data_type
GLYK,atp_c + glyc_c --> adp_c + glyc3p_c + h_c,Cgl2890,-17.4,eQuilibrator_API
GNK_num1,atp_c + glcn_c --> 6pgc_c + adp_c + h_c,Cgl2485,-12.7,eQuilibrator_API
GUI1,glcur_c --> fruur_c,Cgl2484,0.6,eQuilibrator_API
HCO3E,co2_c + h2o_c --> h_c + hco3_c,Cgl2670,-9.5,eQuilibrator_API
HEX7,atp_c + fru_c --> adp_c + f6p_c + h_c,,-18.6,eQuilibrator_API
HPYRI_num1,hpyr_c --> 2h3oppan_c,Cgl2109,1.6,eQuilibrator_API
HSST_2,hom__L_c + succoa_c --> coa_c + suchms_c,,-29.0,eQuilibrator_API
HXCT,accoa_c + hxa_c --> ac_c + hxcoa_c,Cgl2569 and Cgl2360,-5.1,Manual
MALGT,malt_c --> tre_c,Cgl2303,0.4,eQuilibrator_API
MALTATr,accoa_c + malt_c --> acmalt_c + coa_c,Cgl0143,-3.0,eQuilibrator_API
MAN1PG,gtp_c + man1p_c --> gdpmann_c + ppi_c,Cgl0742,-8.9,eQuilibrator_API
MAN6PI,man6p_c --> f6p_c,Cgl0748,-1.4,eQuilibrator_API
MCITL2_num1,micit_c --> pyr_c + succ_c,Cgl0695,-11.2,Manual
MM_COA_ADD5,atp_c + hco3_c + ppcoa_c --> adp_c + h_c + mmcoa__S_c + pi_c,Cgl0707,-6.0,eQuilibrator_API
MMM2,succoa_c --> mmcoa__R_c,Cgl1529 and Cgl1530,8.8,eQuilibrator_API
MSDH_num1,2mop_c + coa_c + h2o_c + nad_c --> hco3_c + nadh_c + ppcoa_c,Cgl0160,-39.2,eQuilibrator_API
PFK_2,atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c,Cgl1250,-20.5,eQuilibrator_API
PGLYCP_num1,2pglyc_c + h2o_c --> glyclt_c + pi_c,Cgl2239,-32.0,eQuilibrator_API
PGMT,g1p_c --> g6p_c,Cgl2541,-7.4,eQuilibrator_API
PMANM_num1,man1p_c --> man6p_c,Cgl0687,-4.4,eQuilibrator_API
PPASUCC,oaa_c + ppa_c --> pyr_c + succ_c,,-7.6,Manual
RBK_num1,atp_c + rib__D_c --> adp_c + h_c + r5p_c,Cgl1366,-30.1,eQuilibrator_API
SUCptsp,h2o_c + sucr_e --> f6p_c + g6p_c,Cgl3036,-1814.6,eQuilibrator_API
TRE6p,h2o_c + tre6p_c --> g6p_c + glc__D_c,,-9.6,eQuilibrator_API
TRE6PP,h2o_c + tre6p_c --> pi_c + tre_c,Cgl2626,-4.4,eQuilibrator_API
TRE6PS,g6p_c + udpg_c --> h_c + tre6p_c + udp_c,Cgl2624,-19.4,eQuilibrator_API
UACGAMPpp,h2o_c + uacgam_c --> acgam1p_c + 2.0 h_c + ump_c,,-36.0,eQuilibrator_API
UDPARA,h_c + r5p_c + utp_c --> ppi_c + udpara_c,,-36.0,eQuilibrator_API
UDPG4E,udpg_c --> udpgal_c,Cgl1921,1.3,eQuilibrator_API
UDPGALPpp,h2o_c + udpgal_c --> gal1p_c + 2.0 h_c + ump_c,,-40.6,eQuilibrator_API
UDPGPpp_num1,h2o_c + udpg_c --> g1p_c + 2.0 h_c + ump_c,Cgl0276,-43.0,eQuilibrator_API
UGLCURPpp,h2o_c + udpglcur_c --> glcur1p_c + 2.0 h_c + ump_c,,-37.0,eQuilibrator_API
XYLI1,xyl__D_c --> xylu__D_c,Cgl0172,3.7,eQuilibrator_API
XYLI2,fru_c --> glc__D_c,Cgl0172,0.12,eQuilibrator_API
XYLK,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c,Cgl0112,-25.5,eQuilibrator_API
GALKr,atp_c + gal_c --> adp_c + gal1p_c + h_c,Cgl2233,-17.0,eQuilibrator_API
M1PD,f6p_c + h_c + nadh_c --> mnl1p_c + nad_c,Cgl0109,-5.7,eQuilibrator_API
MAN2D,fru_c + h_c + nadh_c --> mnl_c + nad_c,Cgl0109,-5.8,eQuilibrator_API
MCITD_num1,2mcit_c --> 2mcacn_c + h2o_c,Cgl0657,-2.9,eQuilibrator_API
HDPA1,dha_c + pi_c --> dhap_c + h2o_c,,14.9,eQuilibrator_API
HDPA2,atp_c + dha_c --> adp_c + dhap_c,,-15.7,eQuilibrator_API
ICL,icit_c --> glx_c + succ_c,Cgl2331,8.9,eQuilibrator_API
MALS,accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c,Cgl2330,-39.2,eQuilibrator_API
ME1_num1,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,Cgl0234,12.1,eQuilibrator_API
ME2,mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,Cgl3007,12.4,eQuilibrator_API
PPA,h2o_c + ppi_c --> h_c + 2.0 pi_c,Cgl2700,-15.74,eQuilibrator_API
PPC,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c,Cgl1585,-41.8,eQuilibrator_API
PPCK,atp_c + oaa_c --> adp_c + co2_c + pep_c,Cgl2864,11.2,eQuilibrator_API
ABTA,4abut_c + akg_c --> glu__L_c + sucsal_c,Cgl0479,6.2,eQuilibrator_API
ACGK,acglu_c + atp_c --> acg5p_c + adp_c,Cgl1396,25.7,eQuilibrator_API
ACGS,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,Cgl1395,-26.2,eQuilibrator_API
ACODA,acorn_c + h2o_c --> ac_c + orn_c,Cgl2829,-6.9,eQuilibrator_API
ACOTA,acorn_c + akg_c --> acg5sa_c + glu__L_c,Cgl1397,-3.6,eQuilibrator_API
AGPR,acg5sa_c + nadp_c + pi_c --> acg5p_c + h_c + nadph_c,Cgl1394,4.6,eQuilibrator_API
AMPTASEPG_num1,h2o_c + progly_c --> gly_c + pro__L_c,Cgl2426,28.0,eQuilibrator_API
ARGSL,argsuc_c --> arg__L_c + fum_c,Cgl1401,-9.0,eQuilibrator_API
CBPS,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,Cgl1609 and Cgl1610,-17.5,eQuilibrator_API
CSND,crtn_c + h2o_c --> nh3_c + nmeth_c,Cgl0076,-17.5,eQuilibrator_API
G5SADs,glu5sa_c --> 1pyr5c_c + h2o_c + h_c,,-38.0,eQuilibrator_API
G5SD,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,Cgl2354,-7.1,eQuilibrator_API
GLU5K,atp_c + glu__L_c --> adp_c + glu5p_c,Cgl2356,29.5,eQuilibrator_API
GLUNATF,acorn_c + glu__L_c --> acglu_c + orn_c,Cgl1395,2.7,eQuilibrator_API
OCBT,cbp_c + orn_c --> citr__L_c + h_c + pi_c,Cgl1398,-31.6,eQuilibrator_API
ORNC,orn_c --> nh3_c + pro__L_c,Cgl1582,-23.0,eQuilibrator_API
