reaction_id,equation,gpr,g0
DPCOAK,atp_c + dpcoa_c --> adp_c + coa_c + h_c,Cgl1361,3.1
DPR,2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,Cgl1089,-15.2
DXPRIi,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,Cgl2016,-12.2
DXPS,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,Cgl1902,-27.7
FCLT,fe2_c + ppp9_c --> 2.0 h_c + pheme_c,Cgl1537 and Cgl2597,0.0
FMNAT,atp_c + fmn_c + h_c --> fad_c + ppi_c,Cgl1978,-9.0
G1SAT,glu1sa_c --> 5aop_c,Cgl0437,-9.5
GDPDPK,atp_c + gdp_c --> amp_c + h_c + ppgpp_c,Cgl1177,-12.0
GDPTPDP,gdptp_c + h2o_c --> gtp_c + ppi_c,Cgl1313,-38.0
GLUCYS,atp_c + cys__L_c + glu__L_c --> adp_c + glucys_c + h_c + pi_c,Cgl2736,-36.0
GLUTRR,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c,Cgl0347,0.0
GLYOD,glyclt_c + o2_c --> glx_c + h2o2_c,Cgl2315,-88.0
GRTT_num1,grdp_c + ipdp_c --> frdp_c + ppi_c,Cgl0626,-83.9
GTHOr,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,Cgl2003,-12.2
GTHRDHpp,gthrd_c + h2o_c --> cgly_c + glu__L_c,Cgl0954,-2.0
GTPCI,gtp_c + h2o_c --> ahdt_c + for_c + h_c,Cgl2695,-63.0
GTPDPDP_num1,gdptp_c + h2o_c --> h_c + pi_c + ppgpp_c,Cgl0977,-32.8
GTPDPK,atp_c + gtp_c --> amp_c + gdptp_c + h_c,Cgl1653,-8.0
HETZK,4mhetz_c + atp_c --> 4mpetz_c + adp_c + h_c,Cgl1464,-19.1
HMBS,h2o_c + 4.0 ppbng_c --> hmbil_c + 4.0 nh4_c,Cgl0418,-121.0
HPPK2,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c,Cgl2692,-8.0
ICHORS,chor_c --> ichor_c,Cgl1292,1.0
IPDDI,ipdp_c --> dmpp_c,Cgl2305,-4.8
IPDPS,h2mb4p_c + h_c + nadh_c --> h2o_c + ipdp_c + nad_c,Cgl1026,-56.8
LIPAMPL,lipoamp_c --> amp_c + lipopb_c,Cgl1074,-0.0
LIPATPT,atp_c + lipoate_c --> lipoamp_c + ppi_c,Cgl1074,0.0
LIPOCT,h_c + ocACP_c --> ACP_c + octapb_c,Cgl2208,0.0
LIPOS,4fe4s_c + 2.0 amet_c + h_c + nad_c + octapb_c --> 2fe2s_c + 2.0 dad_5_c + 2.0 fe2_c + lipopb_c + 2.0 met__L_c + nadh_c,Cgl2209,0.0
MECDPDH2,2mecdp_c + nadh_c --> h2mb4p_c + h2o_c + nad_c,Cgl2014,-0.0
MECDPS,2p4c2me_c --> 2mecdp_c + cmp_c,Cgl2659,0.0
MEPCT,2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,Cgl2660,-9.7
MOCOS_num1,2.0 h_c + mobd_c + mptamp_c --> amp_c + cu2_c + h2o_c + moco_c,Cgl0212,-0.0
MOHMT,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,Cgl0114,10.0
MPTAT,atp_c + h_c + mpt_c --> mptamp_c + ppi_c,Cgl1191,-0.0
MPTS,cpmp_c + cu2_c + 2.0 moadcosh_c --> 5.0 h_c + 2.0 moadcoo_c + mpt_c,Cgl0209,0.0
MPTSS,atp_c + h_c + moadcoo_c --> moadamp_c + ppi_c,Cgl0208,-0.0
MSDHD_num1,coa_c + msa_c + nad_c --> accoa_c + co2_c + nadh_c,Cgl0160,-26.0
NADDP_num1,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c,Cgl0778,-42.5
NADK,atp_c + nad_c --> adp_c + h_c + nadp_c,Cgl1413,-13.1
NADPPPS_num1,h2o_c + nadp_c --> nad_c + pi_c,Cgl0299,-17.6
NADS1,atp_c + dnad_c + nh4_c --> amp_c + h_c + nad_c + ppi_c,Cgl2534,-27.0
NNAM,h2o_c + ncam_c --> nac_c + nh4_c,Cgl2487,-2.5
NNDMBRT,dmbzid_c + nicrnt_c --> 5prdmbz_c + h_c + nac_c,Cgl2200,-25.0
NNDPR,2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c,Cgl1068,-26.0
NPHS,sbzcoa_c --> coa_c + dhna_c,Cgl0463,-110.0
OCTDPS,frdp_c + 5.0 ipdp_c --> octdp_c + 5.0 ppi_c,Cgl0473,-419.0
OCTNLL,atp_c + h_c + octa_c --> amp_c + octapb_c + ppi_c,Cgl1074,-0.0
OHPBAT,glu__L_c + ohpb_c --> akg_c + phthr_c,Cgl0828,10.0
OMBZLM,2ombzl_c + amet_c --> 2ommbl_c + ahcys_c + h_c,Cgl0471,-0.0
PANTS_num1,ala_B_c + atp_c + pant__R_c --> amp_c + h_c + pnto__R_c + ppi_c,Cgl0113,-47.0
PMPK,4ampm_c + atp_c --> 2mahmp_c + adp_c,Cgl1463,5.0
PNTK,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c,Cgl0995,-17.9
PPBNGS,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,Cgl0431,-104.0
PPCDC,4ppcys_c + h_c --> co2_c + pan4p_c,Cgl1604,-21.2
PPGPPDP,h2o_c + ppgpp_c --> gdp_c + ppi_c,Cgl1653,-34.0
PPNCL2,4ppan_c + ctp_c + cys__L_c --> 4ppcys_c + cmp_c + h_c + ppi_c,Cgl1604,-60.0
PPPGO,1.5 o2_c + pppg9_c --> 3.0 h2o_c + ppp9_c,Cgl0436,-0.0
PPPGO3,3.0 fum_c + pppg9_c --> ppp9_c + 3.0 succ_c,Cgl0436,-0.0
PTPATi,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c,Cgl1329,-18.0
PY5PSH,g3p_c + gln__L_c + r5p_c --> glu__L_c + 3.0 h2o_c + h_c + pi_c + pydx5p_c,Cgl0788 and Cgl0789,-308.0
PYDAMK,atp_c + pydam_c --> adp_c + h_c + pyam5p_c,Cgl0913 and Cgl3079,-17.3
PYDXK,atp_c + pydx_c --> adp_c + h_c + pydx5p_c,Cgl0913 and Cgl3079,-18.3
PYDXNK,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c,Cgl0913 and Cgl3079,-10.9
QULNS,dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c,Cgl1069,-221.0
RBFSa,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c,Cgl1594,-100.0
RBFSb,2.0 dmlz_c --> 4r5au_c + ribflv_c,Cgl1596,-95.0
RZ5PP,5prdmbz_c + h2o_c --> pi_c + rdmbzi_c,Cgl0644,-15.4
SEPHCHCS,akg_c + h_c + ichor_c --> 2sephchc_c + co2_c,Cgl0467,-1.0
SUCBZL,atp_c + coa_c + sucbz_c --> amp_c + ppi_c + sbzcoa_c,Cgl0450,-18.5
TDPDSH,dtdp4d6dg_c --> dtdp4d6dm_c,Cgl0333,-15.4
TMPK,atp_c + thmmp_c --> adp_c + thmpp_c,Cgl1323,-50.0
TMPPP_num1,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c,Cgl1463,-25.6
TRATF_num1,akg_c + tau_c --> 2saa_c + glu__L_c,Cgl2441,-25.6
TYRL,amet_c + nadph_c + tyr__L_c --> 4crsol_c + dad_5_c + dhgly_c + h_c + met__L_c + nadp_c,Cgl2041,-0.0
UDCPDPS,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c,Cgl2283,-671.0
UPP3MT_num1,2.0 amet_c + uppg3_c --> 2.0 ahcys_c + dscL_c + h_c,Cgl0429,-671.0
UPP3S,hmbil_c --> h2o_c + uppg3_c,Cgl0429,-0.0
UPPDC1,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c,Cgl0435,-24.0
WCOS_num1,2.0 h_c + mptamp_c + tungs_c --> amp_c + cu2_c + h2o_c + wco_c,Cgl0212,-0.0
NAMNPP,atp_c + h2o_c + nac_c + prpp_c --> adp_c + nicrnt_c + pi_c + ppi_c,Cgl2517,-39.2
RBFK,atp_c + ribflv_c --> adp_c + fmn_c + h_c,Cgl1978,-16.5
ADSK,aps_c + atp_c --> adp_c + h_c + paps_c,,-17.0
AMPTASECG_num1,cgly_c + h2o_c --> cys__L_c + gly_c,Cgl2426,8.0
BPNT,h2o_c + pap_c --> amp_c + pi_c,Cgl0845,-7.2
CYSS,acser_c + h2s_c --> ac_c + cys__L_c + h_c,Cgl2562,-51.0
MCPST_num1,cyan_c + mercppyr_c --> h_c + pyr_c + tcynt_c,Cgl0701,-80.0
PAPSR,paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c,Cgl2816,-47.0
PAPSR2,grxrd_c + paps_c --> grxox_c + 2.0 h_c + pap_c + so3_c,Cgl2816,0.0
SADT2,atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c,Cgl2814 and Cgl2815,17.8
SERAT,accoa_c + ser__L_c --> acser_c + coa_c,Cgl2563,-6.0
SULRi,5.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c,Cgl2817 and Cgl2818,-106.0
ACBCP,accoa_c + cbccp_c --> bccp_c + malcoa_c,,-106.0
BTNC,atp_c + bccp_c + co2_c + h2o_c --> adp_c + cbccp_c + 2.0 h_c + pi_c,,-106.0
5FTHFC,5fthf_c + atp_c --> adp_c + mlthf_c + pi_c,Cgl0881,-13.0
FOMETRi,5fthf_c + h_c --> h2o_c + methf_c,Cgl0881,-45.0
FTHFD,10fthf_c + h2o_c --> for_c + h_c + thf_c,Cgl0382,-25.6
GLYCL,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,,19.0
MTHFC,h2o_c + methf_c --> 10fthf_c + h_c,Cgl0648,-5.0
MTHFD,mlthf_c + nadp_c --> methf_c + nadph_c,Cgl0648,5.5
MTHFR2,2.0 h_c + mlthf_c + nadh_c --> 5mthf_c + nad_c,Cgl2171,-39.0
TMDS2,dump_c + h_c + mlthf_c + nadph_c --> dtmp_c + nadp_c + thf_c,Cgl1972,-63.4
GLNS_num1,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,Cgl2214,-16.4
GLUDC,glu__L_c + h_c --> 4abut_c + co2_c,,-19.3
GLUDy,akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,Cgl2079,-33.2
GLUN,gln__L_c + h2o_c --> glu__L_c + nh4_c,Cgl2482,-14.2
GLUSy,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,Cgl0184 and Cgl0185,-47.4
ACPPAT120,ddcaACP_c + h_c + pi_c --> ACP_c + ddcap_c,Cgl2255,-0.0
ACPPAT140,h_c + myrsACP_c + pi_c --> ACP_c + ttdcap_c,Cgl2255,-0.0
ACPPAT141,h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c,Cgl2255,-0.0
ACPPAT160,h_c + palmACP_c + pi_c --> ACP_c + hdcap_c,Cgl2255,-0.0
ACPPAT161,h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c,Cgl2255,-0.0
ACPPAT180,h_c + ocdcaACP_c + pi_c --> ACP_c + ocdcap_c,Cgl2255,-0.0
ACPPAT181,h_c + octeACP_c + pi_c --> ACP_c + ocdceap_c,Cgl2255,-0.0
AGPAT120,1ddecg3p_c + ddcaACP_c --> ACP_c + pa120_c,Cgl2184,-0.0
AGPAT140,1tdecg3p_c + myrsACP_c --> ACP_c + pa140_c,Cgl2184,0.0
AGPAT141,1tdec7eg3p_c + tdeACP_c --> ACP_c + pa141_c,Cgl2184,0.0
AGPAT160,1hdecg3p_c + palmACP_c --> ACP_c + pa160_c,Cgl2184,0.0
AGPAT161,1hdec9eg3p_c + hdeACP_c --> ACP_c + pa161_c,Cgl2184,0.0
AGPAT180,1odecg3p_c + ocdcaACP_c --> ACP_c + pa180_c,Cgl2184,0.0
AGPAT181,1odec11eg3p_c + octeACP_c --> ACP_c + pa181_c,Cgl2184,0.0
APH140,h2o_c + ttdcap_c --> 2.0 h_c + pi_c + ttdca_c,Cgl2066,-0.0
DASYN120,ctp_c + h_c + pa120_c --> cdpdddecg_c + ppi_c,Cgl2022,-0.0
DASYN140,ctp_c + h_c + pa140_c --> cdpdtdecg_c + ppi_c,Cgl2022,-9.7
DASYN141,ctp_c + h_c + pa141_c --> cdpdtdec7eg_c + ppi_c,Cgl2022,0.0
DASYN160,ctp_c + h_c + pa160_c --> cdpdhdecg_c + ppi_c,Cgl2022,-0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,Cgl2022,0.0
DASYN180,ctp_c + h_c + pa180_c --> cdpdodecg_c + ppi_c,Cgl2022,-9.7
DASYN181,ctp_c + h_c + pa181_c --> cdpdodec11eg_c + ppi_c,Cgl2022,0.0
G3PAT120_num1,ddcaACP_c + glyc3p_c --> 1ddecg3p_c + ACP_c,Cgl1392,0.0
G3PAT140_num1,glyc3p_c + myrsACP_c --> 1tdecg3p_c + ACP_c,Cgl1392,0.0
G3PAT141_num1,glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c,Cgl1392,-0.0
G3PAT160_num1,glyc3p_c + palmACP_c --> 1hdecg3p_c + ACP_c,Cgl1392,-0.0
G3PAT161_num1,glyc3p_c + hdeACP_c --> 1hdec9eg3p_c + ACP_c,Cgl1392,-0.0
G3PAT180_num1,glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c,Cgl1392,0.0
G3PAT181_num1,glyc3p_c + octeACP_c --> 1odec11eg3p_c + ACP_c,Cgl1392,-0.0
GPDDA2,g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c,Cgl1387 and Cgl2907,-0.0
GPDDA3,g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c,Cgl1387 and Cgl2907,-0.0
GPDDA4,g3pg_c + h2o_c --> glyc3p_c + glyc_c + h_c,Cgl1387 and Cgl2907,-0.0
GPDDA5,g3pi_c + h2o_c --> glyc3p_c + h_c + inost_c,Cgl1387 and Cgl2907,-0.0
LPLIPAL1A180pp_num1,1odecg3p_c + h2o_c --> glyc3p_c + h_c + ocdca_c,Cgl0080,-28.6
PGSA120,cdpdddecg_c + glyc3p_c --> cmp_c + h_c + pgp120_c,Cgl1669 and Cgl1964,0.0
PGSA140,cdpdtdecg_c + glyc3p_c --> cmp_c + h_c + pgp140_c,Cgl1669 and Cgl1964,-0.0
PGSA141,cdpdtdec7eg_c + glyc3p_c --> cmp_c + h_c + pgp141_c,Cgl1669 and Cgl1964,-0.0
PGSA160,cdpdhdecg_c + glyc3p_c --> cmp_c + h_c + pgp160_c,Cgl1669 and Cgl1964,0.0
PGSA161,cdpdhdec9eg_c + glyc3p_c --> cmp_c + h_c + pgp161_c,Cgl1669 and Cgl1964,0.0
PGSA180,cdpdodecg_c + glyc3p_c --> cmp_c + h_c + pgp180_c,Cgl1669 and Cgl1964,0.0
PGSA181,cdpdodec11eg_c + glyc3p_c --> cmp_c + h_c + pgp181_c,Cgl1669 and Cgl1964,-0.0
GHMT2r,ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,Cgl0996,-10.1
GLYCK2,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c,Cgl2082,-11.4
PGCD,3pg_c + nad_c --> 3php_c + h_c + nadh_c,Cgl1284,29.5
PSERT,3php_c + glu__L_c --> akg_c + pser__L_c,Cgl0828,-10.9
PSP_L,h2o_c + pser__L_c --> pi_c + ser__L_c,Cgl2522,-10.56
SARCOX,h2o_c + o2_c + sarcs_c --> fald_c + gly_c + h2o2_c,Cgl1581,-71.0
SERD_L,ser__L_c --> nh4_c + pyr_c,Cgl1645,-29.9
ENO,2pg_c --> h2o_c + pep_c,Cgl0974,-3.89
FBA,fdp_c --> dhap_c + g3p_c,Cgl2770,23.7
FBP,fdp_c + h2o_c --> f6p_c + pi_c,Cgl1019,-11.7
GAPD_num1,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,Cgl0937,0.1
GLBRAN2,glycogen_c --> bglycogen_c,Cgl1224,-0.0
GLCP_num1,glycogen_c + pi_c --> g1p_c,Cgl1308,811.0
GLCP2_num1,bglycogen_c + pi_c --> g1p_c,Cgl1308,0.0
GLCS1,adpglc_c --> adp_c + glycogen_c + h_c,Cgl1117,-817.0
GLGC,atp_c + g1p_c + h_c --> adpglc_c + ppi_c,Cgl1118,-8.7
HEX1,atp_c + glc__D_c --> adp_c + g6p_c + h_c,Cgl2185,-21.2
PDH,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,Cgl1129 and Cgl0366 and Cgl2207 and Cgl2248,-34.4
PFK,atp_c + f6p_c --> adp_c + fdp_c + h_c,Cgl1250,-18.9
PGI,g6p_c --> f6p_c,Cgl0851,2.5
PGK,13dpg_c + adp_c --> 3pg_c + atp_c,Cgl1587,-19.5
PGM_num1,3pg_c --> 2pg_c,Cgl1058,4.3
PPS,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c,Cgl0551 and Cgl0553,-6.6
PYK_num1,adp_c + h_c + pep_c --> atp_c + pyr_c,Cgl2089,-24.5
TPI,dhap_c --> g3p_c,Cgl1586,5.7
GLYCK,atp_c + glyc__R_c --> 3pg_c + adp_c + h_c,Cgl2081,-15.6
ATPPRT,atp_c + prpp_c --> ppi_c + prbatp_c,Cgl1504,-0.0
HISTD,h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c,Cgl2102,-19.6
HISTP,h2o_c + hisp_c --> histd_c + pi_c,Cgl0799,-21.4
HSTPT_num1,glu__L_c + imacp_c --> akg_c + hisp_c,Cgl0218,9.5
IG3PS,gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c,Cgl2094 and Cgl2097,0.0
IGPDH,eig3p_c --> h2o_c + imacp_c,Cgl2100,-41.9
PRAMPC,h2o_c + prbamp_c --> prfp_c,Cgl2093,-0.0
PRATPP,h2o_c + prbatp_c --> h_c + ppi_c + prbamp_c,Cgl1505,-0.0
PRMICI,prfp_c --> prlp_c,Cgl2096,-9.8
PRPPS,atp_c + r5p_c --> amp_c + h_c + prpp_c,Cgl0942,-1.4
CA2t3pp,ca2_c + h_e --> ca2_e + h_c,Cgl1082,0.0
CAt6pp_num1,ca2_c + na1_e --> ca2_e + na1_c,Cgl0267,0.0
COBALT2abcpp,atp_c + cobalt2_e + h2o_c --> adp_c + cobalt2_c + h_c + pi_c,Cgl0061,-30.61
COBALT2tpp,cobalt2_e --> cobalt2_c,Cgl1434,0.0
CYANSTpp_num1,cyan_c + tsul_c --> h_c + so3_c + tcynt_c,Cgl0701,-0.0
FDMO,fmnh2_c + isetac_c + o2_c --> fmn_c + gcald_c + h2o_c + h_c + so3_c,Cgl2944,-0.0
FE3abcpp_num1,atp_c + fe3_e + h2o_c --> adp_c + fe3_c + h_c + pi_c,Cgl0336 and Cgl0036 and Cgl0038,-30.61
FEROpp,4.0 fe2_c + 4.0 h_c + o2_c --> 4.0 fe3_c + 2.0 h2o_c,Cgl2526,-28.0
Kabcpp_num1,atp_c + h2o_c + k_e --> adp_c + h_c + k_c + pi_c,Cgl0777,-30.61
Kt2pp,h_e + k_e --> h_c + k_c,Cgl0712,0.0
Kt3pp,h_e + k_c --> h_c + k_e,Cgl0712,0.0
MG2t3_2pp_num1,2.0 h_c + mg2_e --> 2.0 h_e + mg2_c,Cgl1125,0.0
MG2uabcpp,atp_c + h2o_c + mg2_e --> adp_c + h_c + mg2_c + pi_c,,-30.61
MN2tpp,mn2_e --> mn2_c,Cgl1434,0.0
NAt3_1p5pp_num1,3.0 h_e + 2.0 na1_c --> 3.0 h_c + 2.0 na1_e,Cgl0267,0.0
NAt3_2pp_num1,2.0 h_e + na1_c --> 2.0 h_c + na1_e,Cgl0267,0.0
NAt3pp,h_e + na1_c --> h_c + na1_e,Cgl1258,0.0
NH4tpp_num1,nh4_e --> nh4_c,Cgl2061,0.0
NI2tpp,ni2_e --> ni2_c,,0.0
NI2uabcpp,atp_c + h2o_c + ni2_e --> adp_c + h_c + ni2_c + pi_c,,-30.61
NO2t2rpp,h_e + no2_e --> h_c + no2_c,,0.0
NO3t7pp,no2_c + no3_e --> no2_e + no3_c,Cgl1190,0.0
O2tpp,o2_e --> o2_c,,0.0
PIt2rpp,h_e + pi_e --> h_c + pi_c,Cgl0460,0.0
PIuabcpp,atp_c + h2o_c + pi_e --> adp_c + h_c + 2.0 pi_c,Cgl2575 and Cgl2572 and Cgl2573 and Cgl2574,-30.61
PPTHpp,h2o_c + ppt_c --> h2_c + pi_c,Cgl2457,-0.0
SFRD,fdxox_c + 3.0 h2o_c + h2s_c --> 6.0 fdxrd_c + 6.0 h_c + so3_c,Cgl2817,0.0
SO3TRDRD,aps_c + trdrd_c --> amp_c + 2.0 h_c + so3_c + trdox_c,,-41.0
SULabcpp,atp_c + h2o_c + so4_e --> adp_c + h_c + pi_c + so4_c,Cgl0213 and Cgl0214,-30.61
ZN2abcpp_num1,atp_c + h2o_c + zn2_c --> adp_c + h_c + pi_c + zn2_e,Cgl0027 and Cgl0028 and Cgl0029,-30.61
ZN2t3pp,h_e + zn2_c --> h_c + zn2_e,Cgl1434,0.0
ZN2tpp,zn2_e --> zn2_c,,0.0
ZNabcpp,atp_c + h2o_c + zn2_e --> adp_c + h_c + pi_c + zn2_c,,-30.61
CD2tpp,cd2_e --> cd2_c,Cgl1434,0.0
CU2tpp,cu2_e --> cu2_c,Cgl0386,0.0
FE2tpp_num1,fe2_e --> fe2_c,Cgl1434,0.0
D52DGK,atp_c + d52dg_c --> 6p5d2dg_c + adp_c,Cgl0158,0.0
D5GIS,d5dg_c --> d52dg_c,Cgl0161,0.0
MI1PS,g6p_c --> mi3p__D_c,Cgl2996,-60.0
MI2DH_num1,inost_c + nad_c --> 2ins_c + h_c + nadh_c,Cgl0164,-6.7
MI2DHT,2ins_c --> h2o_c + thcd_c,Cgl0163,-6.7
THCDH,h2o_c + thcd_c --> d5dg_c,Cgl0162,-6.7
U23GAAT_num1,3hmrsACP_c + u3hga_c --> ACP_c + h_c + u23ga_c,Cgl1392,0.0
UAGAAT_num1,3hmrsACP_c + uacgam_c --> ACP_c + u3aga_c,Cgl1392,0.0
ACACT1r,2.0 accoa_c --> aacoa_c + coa_c,Cgl2392,25.2
ACCOAC_num1,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,Cgl0831,-10.1
ACOAD1f,btcoa_c + fad_c --> b2coa_c + fadh2_c,Cgl0288,36.0
ACOAD2f,fad_c + hxcoa_c --> fadh2_c + hx2coa_c,Cgl0288,0.0
ACOAD3f,fad_c + occoa_c --> fadh2_c + oc2coa_c,Cgl0288,41.4
ACOAD4f,dcacoa_c + fad_c --> dc2coa_c + fadh2_c,Cgl0288,0.0
ACOAD5f,ddcacoa_c + fad_c --> dd2coa_c + fadh2_c,Cgl0288,41.4
ACOAD6f,fad_c + tdcoa_c --> fadh2_c + td2coa_c,Cgl0288,41.4
ACOAD7f,fad_c + pmtcoa_c --> fadh2_c + hdd2coa_c,Cgl0288,44.9
ACOAD8f,fad_c + stcoa_c --> fadh2_c + od2coa_c,Cgl0288,41.4
ACOATA_num1,ACP_c + accoa_c --> acACP_c + coa_c,Cgl1392,-0.0
KAS14_num1,acACP_c + h_c + malACP_c --> ACP_c + actACP_c + co2_c,Cgl2491,0.0
KAS15_num1,accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c,Cgl2491,-0.0
MACPD,h_c + malACP_c --> acACP_c + co2_c,,0.0
MCOATA_num1,ACP_c + malcoa_c --> coa_c + malACP_c,Cgl1392,-0.0
TDCM_FREE,atp_c + tmcm_c + tre_c --> adp_c + tdcm_c,,-0.0
TMCM_FREE,atp_c + freemyco_c + tre_c --> adp_c + tmcm_c,,-0.0
ACHACB,achms_c + ch4s_c --> ac_c + hcys__L_c,Cgl0653,-176.8
AHCYSNS,ahcys_c + h2o_c --> ade_c + rhcys_c,Cgl2802,-16.4
CYSTL,cyst__L_c + h2o_c --> hcys__L_c + nh4_c + pyr_c,Cgl2309,0.7
HSST_num1,accoa_c + hom__L_c --> achms_c + coa_c,Cgl0652,-28.0
METAT,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,Cgl1603,-0.0
METS,5mthf_c + hcys__L_c --> h_c + met__L_c + thf_c,Cgl1507 and Cgl1139,0.0
METSOXR1_num1,metsox_S__L_c + trdrd_c --> h2o_c + met__L_c + trdox_c,Cgl3091,-0.0
SHSL1_num1,cys__L_c + suchms_c --> cyst__L_c + h_c + succ_c,Cgl2446,-66.0
GLYOX,h2o_c + lgt_S_c --> gthrd_c + h_c + lac__D_c,Cgl0052,-66.0
LGTHL,gthrd_c + mthgxl_c --> lgt_S_c,Cgl0940,-66.0
MCTP1App,murein5p5p_c --> ala__D_c + murein5px4p_c,Cgl2986,0.0
MCTP1Bpp,murein5p5p_c --> alaala_c + murein5px3p_c,Cgl2986,-0.0
MCTP2App,murein5p5p5p_c --> 2.0 ala__D_c + murein5px4px4p_c,Cgl2986,-0.0
MDDCP3pp,h2o_c + murein5p5p_c --> ala__D_c + murein5p4p_c,Cgl0680 and Cgl2699,0.0
MDDCP4pp,h2o_c + murein5p4p_c --> ala__D_c + murein4p4p_c,Cgl0680 and Cgl2699,0.0
MDDCP5pp,h2o_c + murein5p3p_c --> ala__D_c + murein4p3p_c,Cgl0680 and Cgl2699,0.0
MPTG_num1,2.0 uaagmda_c --> 2.0 h_c + murein5p5p_e + 2.0 udcpdp_c,Cgl2986,-0.0
MPTG2_num1,murein5p5p_e + uaagmda_c --> h_c + murein5p5p5p_e + udcpdp_c,Cgl2986,-0.0
AGM4PApp,anhgm4p_c + h2o_c --> LalaDgluMdapDala_c + anhgm_c,Cgl0686,-0.0
NHFRBO_num1,h_c + nadh_c + 2.0 no_c --> h2o_c + n2o_c + nad_c,Cgl2709,-285.0
NO3R1bpp,no3_e + q8h2_c --> h2o_e + no2_e + q8_c,Cgl1186 and Cgl1187 and Cgl1188 and Cgl1189,-5.0
NO3R2bpp,mql8_c + no3_e --> h2o_e + mqn8_c + no2_e,Cgl1186 and Cgl1187 and Cgl1188 and Cgl1189,-112.0
NTRIR3pp,2.0 h_e + no2_e + 3.0 q8h2_c --> 2.0 h2o_e + nh4_e + 3.0 q8_c,,18.0
NTRIR4pp,2.0 h_e + 3.0 mql8_c + no2_e --> 2.0 h2o_e + 3.0 mqn8_c + nh4_e,,-305.0
3NTD2pp,3ump_c + h2o_c --> pi_c + uri_c,,-13.9
3NTD4pp,3cmp_c + h2o_c --> cytd_c + pi_c,,-22.6
3NTD7pp,3amp_c + h2o_c --> adn_c + pi_c,Cgl0328,-18.1
3NTD9pp,3gmp_c + h2o_c --> gsn_c + pi_c,Cgl0328,-13.7
ADK1,amp_c + atp_c --> 2.0 adp_c,Cgl0556,0.52
ADK2,atp_c + damp_c --> adp_c + dadp_c,Cgl0556,3.4
ADK3,amp_c + gtp_c --> adp_c + gdp_c,Cgl0315,2.7
ADK4,amp_c + itp_c --> adp_c + idp_c,Cgl0315,-0.7
ADNCYC,atp_c --> camp_c + ppi_c,Cgl0311,-1.2
ADNK1,adn_c + atp_c --> adp_c + amp_c + h_c,Cgl0556,-15.9
ADPRDP,adprib_c + h2o_c --> amp_c + 2.0 h_c + r5p_c,Cgl1418,-33.1
ADPT,ade_c + prpp_c --> amp_c + ppi_c,Cgl1654,-24.4
