Gene id,SRR19091940,SRR19091945,SRR19091944,SRR19091943,SRR19091942,SRR19091941
Cgl0001,5.350448892298128,6.1540083927868885,6.033850276126268,6.5954737475302085,6.789306893908049,5.396663515591594
Cgl0002,0.0,1.9583636469394283,0.4811654240257629,2.431218216308604,2.8356575732599625,0.8791986501690774
Cgl0003,7.826490800191961,7.7355259738412,7.888493932243692,8.419053972107804,8.88208190829565,7.717672357827506
Cgl0004,5.5782962709194495,6.3023031408186405,6.645023602135714,6.464200200497644,6.8067715415778425,5.7404340474235065
Cgl0005,5.187461255846264,6.286107540388645,6.532989807836597,6.056288781290207,6.252265246025418,4.785443808684267
Cgl0006,8.851018186541072,10.278287536509689,10.048433535002983,8.945296529859439,9.103446838212504,8.763155829048483
Cgl0007,4.979637872975051,6.596563865088787,6.279495048176358,7.150733492999085,6.8831754584861145,4.780509940368346
Cgl0008,6.410453449160756,6.809744138316226,6.209611676543103,6.6876880923261925,6.640416417444862,6.36244588506145
Cgl0009,9.371392059720568,7.442002489220428,6.899305218010701,8.775987720699383,8.960099167355994,9.284244826234923
Cgl0010,4.041764598643908,5.868204147246607,5.3957791631138505,6.306388127075249,6.346402241123098,4.530177308979934
Cgl0011,1.4416947483325715,1.4789624735868,1.7873070392862658,4.292286204379463,4.140194697543676,1.847649788309596
Cgl0012,0.0,2.056098853496206,2.631985544203675,4.405594786312516,4.711089016229003,3.5200062144420383
Cgl0013,8.87576830974592,10.01810317191699,9.876944411538844,8.756041309613718,8.859933726446133,8.808167547820391
Cgl0014,8.685315930713129,9.993736933315027,9.82579119250988,8.464452219059497,8.342735269983617,8.570177573208085
Cgl0015,4.075615669080901,2.81999426349688,2.1673260999974806,7.53830061178542,5.387253431756267,4.577270414815809
Cgl0016,4.143254464209898,5.063576359032108,4.607560267955646,5.722092352726633,5.751386997238782,4.319839715615692
Cgl0017,4.5097981243894525,4.942472697782193,4.636344322590822,6.064935489148039,5.571836690313427,4.443843835908177
Cgl0018,2.8187608808336133,4.302967620542087,4.924087445653488,6.071209800010287,6.104994370165205,3.5078072676985386
Cgl0019,2.7914504909174696,3.1729890433119587,3.4793498256376814,6.325332579625151,6.160266858300735,2.4074585111937075
Cgl0020,2.7408011091857136,4.354090953203452,3.4253961835119737,5.463552194916447,5.679513033648624,2.22930899100076
Cgl0021,2.881524308543685,5.08777672015508,4.880849555760203,5.358526626709813,4.917596479736327,2.6405852302145334
Cgl0022,3.209305640627945,3.9829047689542345,3.2154743481443946,6.10097422251447,6.407281380657662,2.036095160743655
Cgl0023,5.014808148802662,4.742656055260362,3.736447726797983,6.907444882974327,7.218574729792763,5.187604644630682
Cgl0024,3.5891768523085914,4.7664044627611615,4.084026735329405,5.420242449184388,5.309938718712181,3.4212809238084767
Cgl0025,4.060074347418487,5.715457225947295,5.052224592083679,5.360244987433849,4.930935944592889,3.939574046921829
Cgl0026,2.023491681672988,3.5001200602254303,3.736447726797983,2.950306804391483,2.4607881139942225,2.1812008802034986
Cgl0027,0.7060386742085488,1.859913322181203,1.7802225801886733,3.644937707654472,3.169425273989644,0.3637889458200848
Cgl0028,0.0,0.4533807194772672,0.0,1.699689355422516,2.0839143076665136,0.4028816908107228
Cgl0029,0.5436998454202855,1.948590065557937,2.048994962020968,3.832083435496591,3.966884280152375,0.5016800748554506
Cgl0030,8.063256149923602,7.92684073263066,7.962934711988916,7.509105685417246,7.504135610657845,7.940301134789947
Cgl0031,7.94834934435772,8.64742883254254,8.692000913809169,9.16534530183998,9.36089405705715,7.847112560379196
Cgl0032,9.06286700863614,9.604384986250508,9.64713767321252,10.064901903182133,10.055209869387838,8.960723424489526
Cgl0033,10.377164013845276,10.239449500574729,10.192096980742235,11.123850430131556,11.00787278740373,10.264335396376694
Cgl0034,11.519584212206944,10.107484512212066,9.931761493047436,11.675176923036076,11.409365530113936,11.436186330576971
Cgl0035,4.63577855662541,5.416781480957027,5.195567477206433,6.486457967916562,7.037476381164524,5.217154128518415
Cgl0037,0.6823726442354318,1.1760973844061935,1.115175778776317,3.337428361424988,3.3984120788022687,1.0696837084281765
Cgl0036,1.792228358688814,2.7251028429640867,3.0911150880930447,3.886615156745503,3.913397942925007,2.6589893574748062
Cgl0038,1.965201783324144,3.0104687378297155,3.110065236920115,3.215442771890576,3.517898173269377,1.3693114506181032
Cgl0039,1.5916347598725131,3.2014117898777803,3.0660398032631986,3.6564340926015615,3.5970838001943988,2.1677548395661894
Cgl0040,8.584449887113621,8.37135765847236,7.553244684676782,8.750784413759957,8.474836212453129,8.711624921511898
Cgl0041,6.242305664959535,7.340083736330211,6.76608426558056,5.499053787660746,5.2370086892883405,6.1582574193908535
Cgl0042,6.095506241582736,7.912004235534304,7.348284710273412,5.3662222602547285,5.255232484755388,5.934268542541478
Cgl0043,6.426399993061169,8.683274401911987,8.044821610932244,6.479240060907224,6.032243250140902,6.44134800000684
Cgl0044,7.1540240544143145,9.019630052267424,8.579586688080747,7.07941895064879,6.990003545015731,7.110971527458456
Cgl0045,7.462099183060397,8.679150260811271,8.429479470622184,8.470069904866765,8.387631683649014,7.548572221853452
Cgl0046,8.46131246407692,9.41208996957833,9.292531912689888,10.081685759831808,9.849223470980222,8.535624699131175
Cgl0047,8.337483520386915,7.948465913693342,7.8019981392472255,9.822755822975545,9.476190128489815,8.381800908724987
Cgl0048,4.292275398177437,4.43752957046763,3.954444770512764,6.56061552874651,6.420898146076148,4.582994568406182
Cgl0049,6.734373320423932,5.739653835022236,5.200700436347209,7.177095876472827,6.955093739625544,6.756540289913455
Cgl0051,6.219593530648964,7.225434995705251,7.0919717517882015,7.368618748018579,7.225219533237519,6.02867728302579
Cgl0050,4.027638780763746,4.373226335894773,3.5299163384481385,5.99551052925804,5.832337673751503,3.979133693884733
Cgl0052,1.658900239930262,2.9919293975211843,3.9893496504959343,4.5280269517619045,4.447879099249946,1.4224588890478769
Cgl0053,2.8666030828699087,5.402950459043349,5.758094320810604,3.2194106873773705,3.614354416390424,2.213747759210203
Cgl0054,2.3533271552092634,4.7085373808426185,5.069641653197119,4.00603933914951,4.274223560877013,3.000315292739377
Cgl0055,1.0123002029583683,3.8846205306963753,4.977739828630337,3.4695802810561607,3.069080486258285,0.5480106626214684
Cgl0056,7.648781573418432,6.25811911485155,5.964254955483031,6.183848279447958,5.556816344353268,7.600346938262105
Cgl0057,3.18552986921616,2.817610769752333,3.144933858037095,3.981020858366206,3.823756094805446,2.6503604585592817
Cgl0058,0.922856977135084,2.6805977217567127,1.7894934141472305,3.8286134625378354,3.33318213451228,1.4806373985827008
Cgl0059,0.8845426645178404,2.0300826981992937,1.4921207211561036,3.1776901640511293,2.765224730553672,1.343486789545468
Cgl0060,2.0360195259356737,2.3460887363723666,1.9606211489095675,3.9023791770689313,4.033807990852732,1.835519514755085
Cgl0061,7.073360710321951,6.704919919136112,6.466848591982429,7.369161229750673,7.208753950956596,7.021446890088153
Cgl0062,8.450145231485372,7.309685209299344,6.708184530061262,8.367938577403681,8.187391526414077,8.321898519087789
Cgl0063,3.546833347265021,5.199216788834325,5.4032023404409495,5.606429967944751,5.661397771551478,3.8458095359770335
Cgl0064,4.271144967570712,4.909469520729274,4.82131442591404,5.488032217296023,5.292745191048459,4.803845848952992
Cgl0065,4.574360467694066,5.558906415693,5.3751572743373845,4.665061983920953,4.514614491216311,4.043714093504327
Cgl0066,4.412455281037371,6.071511774038411,5.374133703365139,5.459467974142621,4.976057354608612,4.544761262312685
Cgl0067,0.6928753396901821,2.932506245634189,2.7110205314780687,3.4933821275322687,2.9367837627603186,0.641675388290768
Cgl0068,3.5221935607489336,4.147119899264913,3.7218693821351625,6.35450777936975,6.227706314282711,4.128566969113741
Cgl0069,5.973670252860228,6.30470557893368,6.350248297955514,7.089707088557212,7.021219168382431,5.8740820015929165
Cgl0070,5.982606189572043,6.233916437259568,5.94039901037034,7.1529116513621975,6.947698754131677,5.937652527377523
Cgl0071,8.011131559106632,7.463559097841114,7.29571202040008,8.922303773527508,8.803443672232422,7.923317588441795
Cgl0072,5.031726718985008,4.447354771314246,4.899779012740731,6.642056142713393,7.168034019125552,4.714906536841327
Cgl0073,2.8666030828699087,3.2510116919517587,2.255687395222519,5.186576211118462,5.763416916693371,1.7168758507918809
Cgl0074,2.655295606002672,3.974343934461839,3.03415461216399,4.786857830216809,5.826794740578861,1.9293700925955888
Cgl0075,2.2776551056123,2.292770167145585,2.299455636990193,3.704674351688067,3.3446686393856635,2.0422803666371503
Cgl0076,4.423157266586783,4.27812586572986,3.5464319587897,6.112852238296684,5.705117995300133,4.466820565503356
Cgl0077,6.575021452488928,6.091603342304982,5.668255823921339,8.435542260154934,7.5867202684212,6.4890414501349385
Cgl0078,9.971605132593512,8.796502406072893,9.151933134937854,10.644914981875276,10.537225872306644,9.915668898827976
