geneid,cond1,cond2,cond3,cond4,cond5,cond6
Cgl1163,104.23,73.49,109.44,94.95,98.04,66.42
Cgl1164,7.08,5.81,10.55,13.77,14.16,6.27
Cgl1165,11.91,5.64,15.28,49.36,72.87,19.11
Cgl1166,21.3,9.57,21.12,13.92,18.66,6.86
Cgl1167,87.71,63.41,92.85,24.25,31.64,13.31
Cgl1170,115.42,85.01,143.41,1292.45,1245.49,420.91
Cgl1171,7.5,8.04,4.51,26.41,28.81,12.17
Cgl1172,26.4,21.5,28.96,73.2,51.84,47.17
Cgl1173,51.04,25.34,41.31,145.04,145.59,74.17
Cgl1174,150.94,90.91,182.31,95.94,131.69,54.34
Cgl1175,46.41,28.64,40.36,77.05,67.06,14.9
Cgl1176,31.89,20.83,40.06,17.31,13.99,10.1
Cgl1177,5.15,3.67,5.52,5.8,6.28,1.75
Cgl1178,40.9,21.19,43.4,180.49,203.76,106.77
Cgl1179,52.12,33.18,59.2,122.66,154.54,44.55
Cgl1180,99.25,91.18,110.53,145.38,198.55,74.87
Cgl1181,0,0.59,0.91,5.14,6.11,1.5
Cgl1183,38.82,33.64,45.92,183.5,194.84,93.95
Cgl1184,51.03,33.23,59.54,146.91,149.92,91.88
Cgl1185,41.15,13.92,21.5,100.42,81.31,41.63
Cgl1186,142.05,105.57,166.73,631.82,599.46,446.47
Cgl1187,136.38,148.99,127.99,413.94,475.56,327.02
Cgl1188,222.05,162.06,228.9,752.5,715.85,508.71
Cgl1189,181.55,159.46,192.3,809.68,898.24,473.26
Cgl1190,88.29,90.38,121.95,713.52,834.44,371.94
Cgl1191,17.91,12.79,18.81,250.93,241.91,73.44
Cgl1192,1.53,0.38,0.98,15.73,39.86,8.58
Cgl1193,5.44,2.65,5.09,36.56,31.26,23.35
Cgl1194,4.79,3.18,6.16,39.42,32.42,26.66
Cgl1195,8.31,4.43,16.96,23.49,28.02,33.45
Cgl1196,4.2,0.29,3.34,13.23,15.94,6.33
Cgl1197,32.33,20.95,37.63,101.04,99.46,28.65
Cgl1198,58.93,42.49,70.68,119.14,108.7,54.41
Cgl1199,93.78,85.84,111.14,57.25,76.3,27.81
Cgl1200,239.61,208.48,276.35,55.52,70.18,63.7
Cgl1201,8.49,2.98,4.82,5.04,6.45,1.8
Cgl1202,19.08,14.82,21.47,126.06,136.63,36.26
Cgl1203,63.64,54.1,70.12,75.59,79.93,70.59
Cgl1204,9.05,5.16,8.99,26.97,20.07,10.31
Cgl1206,1381.63,1320.05,1798.09,2462.37,3527.64,2089.87
Cgl1207,194.46,114.68,171.08,399.11,619.85,278.57
Cgl1208,591.27,488.94,623.22,1023.14,1849.66,756.18
Cgl1209,875.1,726.12,940.94,1041.69,1830.26,860.22
Cgl1210,1530.04,1283.54,1681.95,2146.21,3886.64,1274.04
Cgl1211,1848.49,1507.57,1919.24,1722.23,2773.49,1539.75
Cgl1212,1848.08,1578.38,1908.16,2312.75,3809.57,1443.42
Cgl1213,2089.43,1346.15,1674.19,986.09,1963.03,1270.85
Cgl1214,81.64,42.21,56.27,30.07,22.29,26.18
Cgl1215,8.23,3.35,6.64,15.75,15.51,12.81
Cgl1216,16.97,11.16,21.72,22.04,17.87,7.36
Cgl1217,75.04,53.28,109.32,241.74,309.92,112.61
Cgl1218,3.33,0,0,6.19,2.07,3.63
Cgl1219,53.34,28.03,63.71,140.39,151.97,74.24
Cgl1220,14.93,6.39,17.18,116.21,90.54,57.75
Cgl1221,40.95,34.29,45.09,368.41,315.64,219.82
Cgl1222,35.34,22.21,31.16,385.61,299.28,277.29
Cgl1223,43.28,18.98,41.77,450.26,332.33,227.2
Cgl1224,206.09,165.37,200.87,780.85,911.16,471.11
Cgl1225,159.49,144.19,181.77,777.34,984.23,533.91
Cgl1227,22.63,9.52,11.26,54.28,73.41,22.08
Cgl1228,0.25,1.34,3.9,3.34,5.07,5.54
Cgl1229,5.25,3.22,6.95,20.57,24.44,14.04
Cgl1230,145.08,98.26,176.96,182.61,195.37,189.49
Cgl1231,265.38,277.12,304.85,333.22,354.39,262.15
Cgl1232,190.71,126.67,182.16,201.33,228.75,115.24
Cgl1233,3.61,0,8.48,13.03,9.61,6.8
Cgl1234,2.66,0.47,1.76,15.21,17.29,6.94
Cgl1235,0,0,1.66,4.01,9.76,3.18
Cgl1236,10.85,4.93,10.88,76.43,98.32,40.19
Cgl1237,7.54,3.59,5.26,24.86,29.53,10.03
Cgl1238,4.81,2.03,5.95,22.89,24.65,7.59
Cgl1239,0,0,0,1.12,0.91,0
Cgl1240,55.83,55.31,82.43,195.41,192.36,123.67
Cgl1241,22.97,16.37,23.34,37.79,45.01,25.4
Cgl1242,28.24,26.23,25.13,42.06,41.2,33.63
Cgl1243,26.53,9.01,19.06,63.47,48.44,19.78
Cgl1244,132.39,71,125.87,186.67,248.45,104.09
Cgl1245,78.9,30.31,46.68,458.76,444.05,156.78
Cgl1246,6.11,2.38,1.84,12.62,15.65,6.73
Cgl1247,111.52,93.62,129.65,235.51,299.19,122.36
Cgl1248,498.67,200.22,483.62,53.45,49.71,18.12
Cgl1249,46.95,19.48,21.2,97.82,70.89,18.54
Cgl1250,292.88,174.3,275.03,2408.09,2707.9,917.33
Cgl1251,8.62,4.83,7.29,311.97,389.43,158.23
Cgl1252,22.5,13.5,28.61,377.87,394.23,388.16
Cgl1253,43.03,40.49,56.41,615.43,641.09,536.9
Cgl1254,44.83,20.6,44.97,644.16,695.85,283.33
Cgl1255,87.6,55.22,90,413.36,465.34,523.4
Cgl1256,7.33,3.63,8.92,74.75,110.37,39.63
Cgl1257,54.27,28.63,53.9,30.87,29.3,25.69
Cgl1258,66.48,59.54,71.9,61.31,55.99,47.94
Cgl1259,279.14,157.63,274.46,362.51,300.4,201.03
Cgl1260,3.52,2.16,5.08,28.27,22.77,12.37
Cgl1261,441.11,213.99,476.13,673.72,566.84,427.22
Cgl1262,48.13,34.67,38.55,286.9,312.82,220.21
Cgl1263,7,6.55,11.38,24.11,20.38,20.34
Cgl1264,59.59,44,62.34,261.05,238.21,134.04
Cgl1265,2.1,2.76,2.37,8.31,8.48,4.8
Cgl1266,47.31,27.49,38.39,169.91,186.74,72.78
Cgl1268,108.03,89.31,114.04,602.07,563.38,282.66
Cgl1269,102.16,72.18,104.41,168.6,130.48,92.79
Cgl1270,35.22,17.84,31.12,64.08,37.15,25.69
Cgl1271,128.1,92.31,115.69,65.41,62.94,33.09
Cgl1272,118.52,87.42,90.73,65.65,73.77,33.24
Cgl1273,547.94,408.37,571.02,893.29,1229.68,373.28
Cgl1277,0,0,0,0.13,0.31,0.11
Cgl1278,1.4,0.41,0.85,0.26,0.83,2.32
Cgl1279,0.59,0,0,0,0,0
Cgl1280,0.42,0,0,1.59,1.29,0.62
Cgl1281,158.77,139.99,170.69,439.34,310.53,234.76
Cgl1282,79.99,64.26,98.25,308.38,340.49,137.4
Cgl1283,30.8,20.97,36.24,184.3,223.89,85.92
Cgl1284,2273.79,2204.66,2183.49,7273.2,9338.73,6332.5
Cgl1285,31.84,21.35,34.25,119.79,135.56,126.05
Cgl1286,45.59,26.19,38.48,357.01,438.62,192.2
Cgl1287,3.16,3.12,9.8,37.01,35.88,17.5
Cgl1288,13.4,6.79,16.44,53.44,59.33,29.96
Cgl1289,23.87,23.11,38.08,73.21,91.95,42.23
Cgl1290,22.46,10.85,19.38,127.63,136.85,44.13
Cgl1291,25.54,14.15,27.62,100.51,111.46,57.27
Cgl1292,8.64,4.74,9.43,13.78,12.77,6.33
Cgl1293,202.72,153.71,199.99,384.23,361.63,207.58
Cgl1294,2.83,0.83,0,8.25,2.51,2.34
Cgl1295,1.72,0.38,0.39,7.28,5.52,2.13
Cgl1296,19.79,8.51,16.82,75.29,82.05,41.51
Cgl1297,1.36,0,0.82,0,0,0
Cgl1298,0,0,0,0,0,0
Cgl1299,0,0,0,0,0,0
Cgl1303,21.33,12.78,18.94,43.53,28.13,21.48
Cgl1304,15.57,2.19,20.25,31.33,30.65,14.19
Cgl1305,10.85,6.18,14.08,3.16,2.3,1.83
Cgl1306,0,0,0,0.95,0,0.29
Cgl1307,2.2,0,0,6.99,5.47,2.4
Cgl1308,178.17,141.38,195.89,1182.57,1583.49,523.13
Cgl1310,10.4,3.55,6,48.96,36.57,25.26
Cgl1311,5.49,2.03,4.44,30.01,35.99,21.04
Cgl1312,14.85,10.42,23.76,439.59,389.05,165.41
Cgl1313,9.34,3.78,7.14,27.89,29.3,11.03
Cgl1314,13.81,6.56,11.43,102.07,132.77,55.14
Cgl1315,22.4,9.88,16.79,214.53,244.68,74.51
Cgl1316,33.95,15.04,37.16,285.87,293.4,92.73
Cgl1318,25.79,15.02,32.02,53.53,58.77,22.95
Cgl1320,3.06,3.4,2.21,7.24,11.03,3.84
Cgl1321,136.16,113.97,172.57,75.47,95.89,87.47
Cgl1322,14.33,8.38,10.5,35.07,40.41,20.46
Cgl1323,6.58,6.13,9.66,42.29,44.06,17.83
Cgl1324,6.79,5.95,8.83,21.23,30.94,27.84
Cgl1325,10.88,6.81,7.34,14.57,13.83,8.82
Cgl1326,17.26,13.12,21.74,47.65,60.33,28.26
Cgl1327,1.89,1.65,0,6.19,7.94,5.6
Cgl1328,31.33,18.63,33.02,107.92,169.03,65.01
Cgl1329,37.11,21.08,48.75,161.14,201.54,130.54
Cgl1330,51.39,34.63,64.98,112.23,125.8,43.27
Cgl1331,29.13,26.11,36.75,85,97.99,43.6
Cgl1332,32.63,20.26,37.89,62.82,72.15,37.04
Cgl1333,5.28,4.41,3.41,24.47,29.54,5.85
Cgl1334,10.8,5.1,10.31,23.15,24.03,10.28
Cgl1336,0,0,0,0.16,0.26,0
Cgl1337,3.27,0.72,4.68,11.33,11.73,4.19
Cgl1338,10.3,6.98,14.38,40.96,47.54,15.07
Cgl1339,3.76,0.41,3.18,12.97,8.75,3.49
Cgl1340,22.02,8.05,20.72,104.33,109.83,51.8
Cgl1342,375.04,140.78,422.38,2741.04,2324.45,1073.71
Cgl1344,0.55,0.48,1.98,14.37,6.07,5.97
Cgl1345,1.33,2.92,3.01,34.57,23.9,16.15
Cgl1347,9.16,5.2,9.73,33.88,29.38,5.34
Cgl1348,0.23,0.4,0,0.74,1.3,0.45
Cgl1349,0.66,2.31,1.79,3.24,2.63,0.33
Cgl1350,0.36,0.32,0.32,2.36,1.11,0
Cgl1351,0,0,0,3.61,1.25,0.47
Cgl1352,3.12,6.16,5.64,2.13,6.23,3.87
Cgl1353,146.42,99.55,152.14,202.18,192.46,123.59
Cgl1354,2.04,1.28,1.58,3.18,2.13,0.86
Cgl1355,5,2.01,4.7,15.14,14.03,5.16
Cgl1356,16.04,9.18,17.01,91.52,93.19,32.94
Cgl1358,2.87,0.92,0.94,4.14,2.89,2.33
Cgl1359,1015.45,914.17,1048.42,1991.52,2059.69,1013.25
Cgl1360,2696.51,2365.87,2901.15,4211.11,4519.2,3482.22
Cgl1361,294.87,155.52,258.38,482.32,455.1,210.97
Cgl1362,16.09,6.98,16.71,42.07,48.23,30.42
Cgl1363,2.79,1.63,3.36,1.78,4.33,4.61
Cgl1364,134.26,80.28,140.66,433.89,244.27,194.24
Cgl1365,123.72,108.38,141.64,250.3,166.73,195.37
Cgl1366,49.16,33.64,47.78,140.75,107.4,102.19
Cgl1367,1.76,2.57,5.65,30.48,30.19,17.15
Cgl1368,1.23,0.81,0.84,4.05,4.79,0.61
Cgl1369,86.03,56.31,82.51,153.23,131.58,87.86
Cgl1370,94.96,33.79,71.67,1423.94,1210.12,298.33
Cgl1371,9.02,1.4,1.92,15.66,14.11,4.2
Cgl1372,35.75,19.36,35.1,96.26,101.79,57.63
Cgl1373,18.59,13.07,16.22,41.73,40.53,21.93
Cgl1374,293.16,157.15,298.14,824.7,700.5,364.06
Cgl1375,16.21,3.85,9.46,88.27,66.94,36.81
Cgl1376,40.38,25.01,43.7,106.54,95.02,64.18
Cgl1377,36,28.64,37.79,111.92,77.78,51.98
Cgl1378,418.78,304.3,382.74,499.5,558.28,223.18
Cgl1379,363.48,254.66,237.72,391.71,540.42,183.66
Cgl1380,76.38,31.17,58.44,107,147.45,32.84
Cgl1381,3.76,2.2,7.69,14.79,11.77,4.59
Cgl1382,0,1.09,1.5,11.99,11.56,2.26
Cgl1383,0.44,0.57,2.37,48.57,85.95,32.98
Cgl1384,0.24,0,0.88,22.75,69.69,23.02
Cgl1385,1.24,1.49,1.4,42.86,121.02,23.13
Cgl1386,0.83,0.44,0.45,26.95,76.24,18.58
Cgl1387,2.88,5.3,5.46,121.1,179.84,52.44
Cgl1388,32.2,24.08,23.44,121.04,152.94,55.63
Cgl1389,63.86,46.76,58.03,146.79,216.74,77.8
Cgl1390,134.48,124.36,128.72,314.06,390.91,158.32
Cgl1391,40.32,29.68,35.66,82,95.77,55.36
Cgl1392,63.48,65.34,73.53,68.37,81.51,66.6
Cgl1393,84.99,54.25,73.58,210.05,227.43,89.42
Cgl1394,41.16,45.34,60.44,129.16,146.09,86.77
Cgl1395,92.15,78.98,100.72,134.82,123.81,138.83
Cgl1396,63.62,61.04,62.47,121.38,97.97,82.48
Cgl1397,81.57,52.86,68.04,199.88,188.9,103.03
Cgl1398,90.17,73.13,83.93,136.4,145.89,92.58
Cgl1399,30.39,20.42,33.15,58.26,56.88,27.18
Cgl1400,241.84,191.51,237.03,450,490.07,284.83
Cgl1401,147.15,107.87,128.92,224.25,249.3,173.27
Cgl1402,3.2,6.08,5.94,133.69,188.25,42.87
Cgl1403,14.2,8.38,13.41,248.31,332.65,83.49
Cgl1404,6.95,1.45,4.49,62.28,65.05,17.39
Cgl1405,5.66,4.96,3.07,58.15,57.69,26.34
Cgl1406,99.34,62.8,92.78,497.76,672.79,240.27
Cgl1407,9.57,9.92,6.29,92.08,123.87,53.46
Cgl1409,59.15,43.12,54.83,99.83,103.93,65.63
Cgl1410,36.11,29.32,28.89,177.12,171.09,86.78
Cgl1411,7.41,4.33,5.57,19.57,19.15,20.79
Cgl1412,22.8,11.95,29.99,59.47,61.96,44.43
Cgl1413,32.78,25.97,42.02,120.25,145.44,64.74
Cgl1414,9.03,6.21,12.39,70.98,60.25,31.25
Cgl1415,65.33,42.34,50.53,42.43,33.2,18.25
Cgl1416,58.4,43.64,50.27,33.77,25.43,17.02
Cgl1417,700.08,559.6,798.66,1018.71,664.81,681.34
Cgl1418,448.27,317.38,456.32,267.1,211.78,285.68
Cgl1419,140.46,123.97,150.98,129.36,123.46,124.15
Cgl1420,0.8,0.35,1.8,3.99,1.47,0.86
Cgl1421,10.5,8.39,17.91,69.51,73.34,28.89
Cgl1422,2.53,1.85,2.09,2.65,4.95,1.57
Cgl1423,12.64,5.7,8.15,171.76,252.97,44
Cgl1424,51.27,52.56,57.3,96.24,95.28,42.44
Cgl1425,15.83,8.33,15.25,14.04,16.22,8.89
Cgl1426,19.46,12.61,17.96,106.26,103.9,45.78
Cgl1427,14.61,11.05,14.75,64.52,77.6,31.64
Cgl1428,41.26,28.22,35.79,122.45,158.95,58.38
Cgl1429,6.39,5.34,12.1,53.76,46.57,17.79
Cgl1430,47.97,31.38,72.33,933.89,675.01,252.31
Cgl1431,7.74,1.75,9.69,12.83,12.39,3.71
Cgl1432,7.59,4.57,7.66,0.65,1.72,0.29
Cgl1433,25.66,20.15,26.44,4.08,4.24,4.28
Cgl1434,94.9,67.51,111.69,591.23,474.33,266.77
Cgl1436,46.49,32.59,45.9,62.46,48.85,57.3
Cgl1437,0,0,0,0.59,0.96,0
Cgl1438,30.81,8.24,14.62,161.02,159.07,82
Cgl1439,24.48,16.14,25.17,221.23,192.17,101.94
Cgl1440,78.02,57.59,72.55,152.54,140.42,82.7
Cgl1441,304.1,192.27,286.57,6779.53,6694,1948.77
Cgl1442,118.07,80.49,129.9,699.04,738.47,297.86
Cgl1443,24.66,14.04,22.56,108.37,99.1,48.54
Cgl1444,89.9,34.35,55.25,374.01,428.68,115.85
Cgl1445,31.37,11.49,24.38,404.58,475.8,80.23
Cgl1446,44.92,31.31,44.67,75.03,100.03,57.33
Cgl1447,6.24,2.1,5.85,11.41,13.83,7.6
Cgl1448,14.73,7.88,11.75,79.67,77.84,41.96
Cgl1449,11.78,12.53,14.63,114.33,126.6,56.31
Cgl1450,27.82,25.73,35.37,126.39,159.35,84.48
Cgl1451,0,0,0,0.75,0.37,0
Cgl1452,266.39,169.67,256.14,1265.68,1347.38,425.72
Cgl1453,1.31,1.92,3.16,26.82,17.48,5.64
Cgl1454,26.46,18.02,24.21,64.33,43.68,28.11
Cgl1455,62.14,37.21,48.95,313.39,331.47,148.75
Cgl1456,37.5,36.97,44.5,199.65,195.05,98.31
Cgl1457,7.67,5.1,15.12,23.64,25.46,16.01
Cgl1458,1.68,0.84,1.73,3.93,12.87,5.35
Cgl1459,1.26,1.99,5.24,5.11,16.23,9
Cgl1460,7.07,9.08,6.38,16.97,40.73,13.88
Cgl1461,10.44,10.18,6.46,21.04,44.68,18.87
Cgl1462,96.9,39.51,38.46,9.62,16.69,29.65
Cgl1463,17.06,12,14.77,30.9,40.9,21.52
Cgl1464,11.36,3.98,10.94,25.8,22.94,13.38
Cgl1465,223.4,171.63,237.93,1197.14,1245.05,719.62
Cgl1466,8.66,7.19,7.54,18.01,19.54,10.72
Cgl1467,37.54,37.42,44.63,106.94,72.62,57.81
Cgl1468,7.69,1.5,7.33,77.97,88.03,23.26
Cgl1469,2.13,0.31,4.82,1.94,5.2,0.53
Cgl1470,0,0.18,0.55,1.23,0.99,1.31
Cgl1471,20.12,6.62,8.71,191.31,131.36,89.67
Cgl1472,40.06,28.97,46.13,81.42,76.34,44.84
Cgl1473,33.68,29.77,35.87,44.82,44.38,29.24
Cgl1474,43.5,27.75,41.67,1325.53,1081.72,509.15
Cgl1475,7.43,1.86,0.96,22.04,15.99,6.31
Cgl1476,20.56,9.73,20.03,82.51,100.37,39.12
Cgl1477,49.51,19.25,33.65,225.48,160.69,67
Cgl1478,98.96,48.78,72.4,214.75,236.03,96.79
Cgl1479,24.74,11.56,19.43,40.24,41.29,25.25
Cgl1480,61.03,38.96,47.94,94.57,91.58,85.5
Cgl1481,4.98,4.64,4.92,17.28,16.98,11.72
Cgl1482,4.19,1.15,1.89,6.88,10.34,5.19
Cgl1483,22.05,8.43,24.75,119.44,138.63,58.36
Cgl1484,0.56,0,0,1.84,5.47,0.28
Cgl1485,0,0,5.91,3.58,5.08,0.41
Cgl1486,176.19,152.59,178.24,109.09,101.88,77.87
Cgl1487,88.08,46.22,107.79,149.15,142.19,83.71
Cgl1488,1.59,1.39,2.01,33.13,25.74,9.59
Cgl1489,41.39,25.29,42.06,148.1,131.37,66.32
Cgl1490,68.11,59.92,69.3,115.59,157.19,110.81
Cgl1491,71.09,28.09,49.75,317.58,341.61,94.86
Cgl1492,19.04,9.26,14.02,53.07,65.62,22.14
Cgl1493,39.27,25.1,44.53,65.89,89.1,48.53
Cgl1494,103.21,72.18,112.74,216.63,219.46,143.36
Cgl1495,38.65,13.74,33.96,122.77,101.42,51.73
Cgl1496,155.82,90.88,147.4,127.56,115.49,79.27
Cgl1497,118.55,76.35,131.81,174.89,167.95,89.1
Cgl1498,94.9,56.77,89.45,106.56,96.34,90.76
Cgl1499,131.75,104.52,138.65,243.24,171.45,156
Cgl1500,15.33,14.51,14.5,14.63,13.49,7.47
Cgl1501,21.07,14.37,23.26,30.72,20.41,13.14
Cgl1502,0.34,0.44,0.3,28.3,25.18,10.74
Cgl1503,57.59,50.39,73.18,245.79,342.07,122.96
Cgl1504,115.8,88.89,119.59,464.34,713.12,272.6
Cgl1505,15.67,5.89,8.09,50.98,72.11,22.54
Cgl1506,23.7,10.52,19.56,148.78,170.48,58.85
Cgl1507,14.72,9.6,10.89,39.82,40.42,23.56
Cgl1508,4.98,1.87,5.14,15.55,12.45,4.75
Cgl1509,10.69,9.55,18.77,62.87,56.43,34.02
Cgl1510,58.92,69.01,76.03,231.7,207.94,188.17
Cgl1511,47.67,31.25,57.4,107.92,95.42,73.93
Cgl1512,35.53,31.44,40.97,59.32,58.37,57.51
Cgl1513,5.35,1.88,1.93,68.97,53.33,15.62
Cgl1514,9.19,4.95,7.86,62.77,79.51,23.24
Cgl1515,20.55,17.82,24.61,47.47,53.03,35.8
Cgl1516,8.24,11.79,10.38,46.84,51.83,24.39
Cgl1517,39.34,25.57,41.3,85.15,113.32,59.14
Cgl1518,72.09,43.06,92.8,228.68,253.1,119.87
Cgl1519,0,0,0,2.52,2.81,0.28
Cgl1520,0,0.66,0,0.14,0,0
Cgl1521,0.88,0,0.16,0.29,0.16,0.17
Cgl1522,125.01,88.29,124.75,497.35,521.88,477.74
Cgl1523,77.81,47.84,76.13,1058.84,1205.03,548.24
Cgl1524,14.48,10.82,13.69,20.41,15.7,17.71
Cgl1525,6.7,1.66,3.43,4.56,3.59,3.19
Cgl1527,52.25,45.82,48.99,161.93,164.22,143.08
Cgl1528,111.91,79.17,115.22,94.22,129.83,44.07
Cgl1529,367.24,244.46,318.21,207.96,284.32,163.49
Cgl1530,119.72,62.92,104.25,60.58,79.81,42.18
Cgl1531,0,0.47,0.48,1.75,3.07,1.58
Cgl1532,22.4,9.53,27.59,64.58,97.68,26.23
Cgl1533,76.67,44.83,84.82,133.12,150.29,62.36
Cgl1534,88.78,79.53,101.62,117.06,113.03,65.61
Cgl1535,7.94,3.17,3.7,5.26,6.3,2.15
Cgl1536,4.66,4.09,6.32,12.75,11.26,5.26
Cgl1537,41.91,30.98,41.98,58.12,68.48,33.36
Cgl1538,51.64,33.78,47.03,21,23.57,6.18
Cgl1539,13.82,7.84,16.89,3.56,3.24,5.24
Cgl1540,4078.27,3403.95,4216.29,1843.7,1934.02,1129.42
Cgl1541,56.76,18.9,31.79,14.92,11.79,4.45
Cgl1542,12.61,5.88,11.88,84.79,77.33,29.37
Cgl1543,130.28,87.44,146.66,657.38,631.02,297.65
Cgl1544,0,2.65,4.09,25.98,19.73,17.56
Cgl1545,158.51,94.52,147.93,175.64,133.21,91.08
Cgl1546,67.06,46.34,68.66,159.81,161.79,67.9
Cgl1547,4.28,2.81,5.31,7.89,4.03,3.97
Cgl1548,46.11,28.4,42.05,81.9,79.78,43.6
Cgl1552,0,0,0,0.46,0.74,0
Cgl1553,0.53,0.93,1.44,4.06,2.12,0
Cgl1554,43.81,24.85,45.2,163.54,190.51,68.99
Cgl1555,0,0,0.12,0.15,0.24,0.07
Cgl1556,0.34,0,0,0.19,0.15,0.25
Cgl1557,0.57,0.5,0,5.01,8.64,2.55
Cgl1558,7.27,3.04,3.75,28.97,29.95,15.27
Cgl1559,635.13,501.37,579.84,375.46,380.62,120.62
Cgl1560,421.83,323.52,420.63,123.72,164.35,48.65
Cgl1561,799.09,720.58,910.45,114.95,131.89,94.83
Cgl1562,880.98,680.86,960.95,164.6,212.25,105.67
Cgl1563,1325.53,1118.74,1483.92,346.98,420.87,204.08
Cgl1564,1010.63,798.27,1153.06,390.33,399.05,234.83
Cgl1565,789.5,365.06,774.89,346.2,316.91,189.58
Cgl1566,9.4,5.43,9.01,17.3,15.71,8.97
Cgl1567,12.54,6.64,10.61,17.63,20.57,5.23
Cgl1568,6.56,6.64,11.4,7.73,10.52,5.13
Cgl1569,418.7,418.34,443.35,441.11,568.79,268.92
Cgl1571,3.46,1.52,2.66,19.32,17.01,6.26
Cgl1572,113.92,54.93,121.68,84.92,74.46,92.87
Cgl1573,63.96,63.56,64.67,125.67,144.5,62.82
Cgl1574,323.12,221.2,301.66,1445.76,1911.12,649.28
Cgl1575,249.19,165.76,214.52,821.48,937.78,458.68
Cgl1576,57.61,41.51,53.58,168.14,197.73,95.46
Cgl1577,88.68,48.75,73.2,270.25,337.78,132.09
Cgl1578,49.19,27,44.43,129.12,149.35,80.65
Cgl1579,82.87,28.02,59.06,11.74,9.74,11.87
Cgl1580,133.32,150.51,165.48,15.15,5.47,32.98
Cgl1581,9695.46,7179.26,10366.42,7466.06,2824.41,3534.85
Cgl1582,7938.54,4895.58,7548.34,8647.07,3535.58,3396.39
Cgl1583,5902.68,4296.68,6414.01,5641.41,2400,3406.93
Cgl1584,216.73,223.67,242.91,639.06,470.03,184.09
Cgl1585,319.09,232.48,303.72,484,481.74,230.39
Cgl1586,932.73,664.59,844.99,1320.6,1381.03,776.54
Cgl1587,751.66,642.21,800.74,1429.14,1764.66,812.2
Cgl1588,5898.87,4955.21,6691.37,9283.68,10023.99,4288.47
Cgl1589,102.04,54.82,96.09,151.97,140.77,88.79
Cgl1590,70.87,43,82.83,286.07,253.39,126.55
Cgl1591,43.8,33.04,51.43,232.99,228.28,96.33
Cgl1592,15.29,10.34,13.9,18.58,23.58,13.27
Cgl1593,54.59,20.26,43.62,103.31,107.37,39.87
Cgl1594,106.93,81.13,86.99,101.6,119.27,64.31
Cgl1595,89.4,58.14,109.01,94.94,96.14,56.76
Cgl1596,66.61,49.43,52.93,73.53,83.91,47.11
Cgl1597,57.16,36.02,58.52,84.95,81.06,49.16
Cgl1598,153.99,109.88,150.78,477.95,400.06,224.69
Cgl1599,125.71,86.06,120.84,263.87,295.48,190.8
Cgl1600,40.82,30.15,44.05,237.26,285.95,104.61
Cgl1601,32.75,33.62,34.27,109.6,126.78,94.95
Cgl1602,5.72,2.16,8.37,9.05,8.39,4.54
Cgl1603,25.63,21.74,24.8,95.25,90.82,42.78
Cgl1604,13.06,4.81,9.03,18.87,17.16,10.06
Cgl1605,79.21,48.38,59.4,412.14,538.99,176.54
Cgl1606,276.9,207.62,271.91,611.53,802.63,551.07
Cgl1607,93.91,36.73,70.49,346.18,340.39,80.77
Cgl1608,392.99,345.95,407.68,408.14,288.06,255.76
Cgl1609,696.89,602.75,787.59,1121.87,672.56,568.71
Cgl1610,644.63,421.03,744.2,1015.22,701.25,511.41
Cgl1611,537.37,346.09,623.98,906.85,598.04,422.22
Cgl1612,386.31,283.83,421.77,1031.89,724.24,617.11
Cgl1613,362.68,354.48,483.54,2051.75,1262.97,1489.55
Cgl1614,32.95,23.28,31.08,91.59,85.98,40.43
Cgl1615,11.03,12.65,11.11,64.72,62.27,28.58
Cgl1616,60.01,32.65,66.46,118.77,116.32,175.73
Cgl1617,16.16,2.84,10.71,32.99,36.31,13.88
Cgl1618,270.67,188.29,311.42,543.06,757.79,252.8
Cgl1619,198.62,89.95,193.41,482.9,727.53,172.61
Cgl1620,42.71,14.72,38.58,229.93,265.69,83.79
Cgl1621,26.15,15.78,25.13,47.26,63.57,28.76
Cgl1622,16.71,15.59,17.01,27.59,51.53,13.56
Cgl1623,32.78,22.33,28.25,63.59,71.93,23.41
Cgl1624,0,0,0,0.29,0.24,0.53
Cgl1625,1.33,0,0,9.82,6.49,0.33
Cgl1626,12.67,7.96,14.35,63.07,52.07,28.48
Cgl1627,18.88,17.3,30.66,65.42,62.74,44.35
Cgl1628,21.28,14.18,21.41,34.91,32.49,41.23
Cgl1629,11.03,10.32,15.94,35.11,49.33,23.43
Cgl1630,17.23,9.62,17.14,65,70.47,33.71
Cgl1631,12.61,9.44,9.38,23.93,28.78,11.58
Cgl1632,180.61,142.39,187.12,438.83,562.87,243.19
Cgl1633,16.53,14.63,21.33,43.65,41.36,28.22
Cgl1634,148.34,113.43,163.26,92.33,108.74,62.13
Cgl1635,88.4,58.27,70.38,206.36,257.06,93.15
Cgl1636,51.1,23.38,54.85,416.77,404.44,124.97
Cgl1637,6.2,2.15,5.67,14.85,15.95,12.7
Cgl1638,60.23,37.26,63,193.54,313.04,110.92
Cgl1639,14.39,7.96,20.34,92.53,117.77,60.13
Cgl1640,2.73,0.3,2.16,5.04,4.24,2.7
Cgl1641,6.25,1.74,8.98,24.85,16.25,6.05
Cgl1642,13.32,5.92,11.21,44.6,29.86,22.15
Cgl1645,47.68,22.1,47.42,58.97,48.76,42.07
