geneid,cond1,cond2,cond3,cond4,cond5,cond6
Cgl0816,37.47,30.3,40.88,46.03,43.75,24.17
Cgl0817,40.88,30.91,42.02,88.74,85.46,44.71
Cgl0818,0,0,0.96,12.18,5.17,0
Cgl0819,79.79,33.45,49.31,86.48,89.53,46.97
Cgl0820,14.32,4.19,14.37,57.7,42.56,14.19
Cgl0821,42.05,30.79,50.52,112.61,109.63,56.56
Cgl0822,8.61,3.88,5.78,40.21,44.28,21.44
Cgl0823,6.28,3.41,5.94,48.23,77.84,21.92
Cgl0824,102.19,86.2,128.42,416.12,417.14,355.96
Cgl0825,123.53,94.8,111.79,372.9,437.6,277.64
Cgl0826,25.2,13.91,30.34,60.71,76.03,31.2
Cgl0827,51.57,29.58,55.42,136.09,137.38,49.26
Cgl0828,303.8,263.76,341.23,405.91,426.6,200.43
Cgl0829,1276.15,975.66,1472.44,825.61,1127.6,396.93
Cgl0830,735.97,360.76,568.34,695.53,801.84,397.6
Cgl0831,72.93,56.47,83.82,226.83,153.48,120.44
Cgl0832,11.56,11.4,16.31,62.39,68.53,22.9
Cgl0833,47.35,44.87,50.87,148.73,236.28,98.63
Cgl0834,2.62,2.07,1.89,7.74,5.46,2.08
Cgl0835,40.11,30.3,44.95,75.55,81.09,33.27
Cgl0836,65.08,50.76,57.72,857.72,1967.16,544.86
Cgl0837,5.38,3.99,4.86,50.69,63.5,13.74
Cgl0839,9.89,8.34,13.84,223.12,396.04,104.15
Cgl0840,0,0.42,1.29,14.28,10.52,2.35
Cgl0841,1367.64,809.78,1098.25,1621.13,2014.39,1110.83
Cgl0842,84.02,40.19,84.31,250.07,237.04,69.36
Cgl0843,21.3,8.17,22.44,164.23,196.93,42.42
Cgl0844,53.65,48.39,70.04,354.61,385.22,166.25
Cgl0845,222.19,116.97,205.76,1080.31,1491.82,649.69
Cgl0846,14.46,10.8,15.48,40.46,35.27,21.22
Cgl0847,6.87,3.71,8.35,10.54,10.19,5.23
Cgl0848,103.08,54.76,106.07,395.27,409.1,240.06
Cgl0849,12.84,7.7,9.46,37.67,32.65,28.78
Cgl0850,70.49,44.05,66.48,16.1,14.28,24.79
Cgl0851,1009.34,806.64,1091.34,1544.11,1380.06,715.63
Cgl0852,0.52,0.46,0.47,2.94,2.93,1.81
Cgl0853,0.67,0,3.01,17.83,22.43,1.32
Cgl0854,48.16,32.66,49.6,99.06,97.87,53.08
Cgl0855,9.15,5.7,11.57,23.11,16.31,15.82
Cgl0856,6.7,2.67,5.5,14.81,14.71,19.6
Cgl0857,2.8,1.75,0.72,5.89,7.79,2.77
Cgl0858,75.88,44.03,75.23,225.35,230.56,82.23
Cgl0859,5.71,6.5,7.34,29.16,28.84,14.62
Cgl0860,52.7,35.16,44.38,35.35,40.56,23.86
Cgl0861,275.22,233.83,276.69,842.97,908.79,412.37
Cgl0862,8.67,7.17,9.18,20.45,19.99,5.77
Cgl0863,17.66,13.62,20.07,96.2,108.52,32.27
Cgl0864,24.59,18.4,29.74,73.12,68.9,44.46
Cgl0866,821.17,478.47,529.95,984.89,1105.83,691.77
Cgl0867,278.22,201.98,220.62,496.69,620.9,334.3
Cgl0868,32.09,17.32,61.32,85.7,74.43,50.75
Cgl0869,124.61,88.94,97.8,380.08,446.17,120.04
Cgl0870,9.34,7.75,8.32,25.59,35.42,18.81
Cgl0871,0,0,2.34,9.9,7.45,5.76
Cgl0872,110.61,20.74,73.03,231.03,200.9,42.32
Cgl0873,16.39,5.13,14.8,51.83,52.42,13.91
Cgl0874,15.73,6.9,11.58,57.35,74.67,32.18
Cgl0875,11.88,6.33,7.92,17.09,20.32,13.31
Cgl0876,81.25,42.43,83.51,649.94,234.95,358.72
Cgl0877,78.28,44.96,62.26,445.2,200.26,273.31
Cgl0878,19.25,0.89,16.47,89.19,50.32,19.07
Cgl0879,261.08,192.64,345.36,1770.36,1362.71,675.27
Cgl0880,7.34,3.22,4.97,13.84,20.83,6.73
Cgl0881,29.15,12.78,28.25,147.49,192.42,43.66
Cgl0882,52.21,36.55,51.61,47.69,43.72,35.86
Cgl0883,44.78,34.88,47.74,92.97,116.96,58.21
Cgl0884,15.36,11.85,12.21,26.7,32.28,12.33
Cgl0885,88.18,52.67,78.01,94.77,93.15,69.74
Cgl0886,5.76,2.97,5.2,9.81,6.46,4.7
Cgl0887,6.49,6.13,4.51,13.65,6.64,4.45
Cgl0888,9.7,7.18,4.38,15.08,13.98,9.01
Cgl0889,209.99,118.78,223.56,519.81,473.44,221.14
Cgl0890,9.64,8.11,12.12,20.73,20.51,11.04
Cgl0891,14.39,6.1,9.75,40.66,34.46,14.02
Cgl0892,120.41,72.63,108.85,198.1,200.8,136.49
Cgl0893,175.67,142.18,182.34,430.81,483.68,222.24
Cgl0894,38.91,22.98,36.84,16.01,15.09,6.64
Cgl0895,2.24,5.62,3.18,9.28,5.68,3.49
Cgl0896,1.05,1.08,1.74,7.38,4.04,2.17
Cgl0897,0,0,0,1.88,1.18,1.7
Cgl0900,0.59,0,0,1.95,0.79,0.59
Cgl0901,94.24,69.95,97.01,478.16,517.55,220.11
Cgl0902,17.06,10.95,16.52,76.25,88.35,32.84
Cgl0906,2.26,0,0,4.02,2.76,1.68
Cgl0907,4.78,1.68,0.86,12.2,13,8.05
Cgl0908,2.93,0.43,3.09,7.74,3.57,6.53
Cgl0909,27.7,17.62,33.19,24.94,28.09,9.51
Cgl0910,21.48,18.23,22.94,51.38,56.92,28.02
Cgl0911,23.28,19.28,27.32,34.02,32.71,18.65
Cgl0912,22.08,17.61,29.66,54.46,57.25,18.85
Cgl0913,9.99,7.19,13.88,20.59,23.74,10.66
Cgl0914,20.66,9.62,21.71,183.73,223.23,109.66
Cgl0915,28.29,2.21,9.08,312.05,193.14,77.84
Cgl0916,148.36,76.63,160.1,657.08,590.02,254.7
Cgl0917,458.32,284.92,508.3,807.29,688.09,423.23
Cgl0918,23.06,14.16,21.98,101.26,104.84,26.27
Cgl0919,11.98,5.95,9.74,54.58,47.19,35.41
Cgl0920,23.71,26.7,33.82,34.32,33.8,26.96
Cgl0921,16.33,7.01,17.98,85.39,74.16,33.63
Cgl0922,33.1,24.73,42.19,130.06,137.44,76.29
Cgl0923,6.3,9.21,12.01,38.26,25.14,20.97
Cgl0924,0.43,0.98,0.39,3.51,4.26,2.38
Cgl0925,39.37,29.24,37.37,296.71,384.18,141.08
Cgl0926,14.8,11.01,16.27,28.85,29.1,20.72
Cgl0927,0,0,0,0.52,1.47,0.24
Cgl0928,2.49,2.18,3.67,14.83,11.16,13.57
Cgl0929,106.9,63.87,108.81,139.01,137.15,126.07
Cgl0930,1123.73,695.7,1089.81,41.4,19.74,26.65
Cgl0931,1358.75,1099.63,1222.38,29.06,13.67,20.29
Cgl0932,1464.95,1294.07,1344.02,37.73,12.96,19.8
Cgl0933,739.82,430.52,492.3,7.94,4.09,7.47
Cgl0934,1252.22,795.18,1128.59,30.14,13.89,17.82
Cgl0935,64.25,47.34,44.87,28.79,42.14,13.45
Cgl0936,193.95,156.34,204.21,359.33,273.46,160.08
Cgl0937,77.63,52.61,79.93,229.79,225.97,125.21
Cgl0938,20.98,13.38,18.26,43.37,45.32,19.08
Cgl0939,336.42,243.21,334.04,342.17,355.07,164.29
Cgl0940,82.51,68.64,93.68,781.49,552.47,299.38
Cgl0941,31.18,27.06,36.67,38.36,46.37,37.17
Cgl0942,218.67,137.72,234.55,380.26,414.57,151.43
Cgl0943,58.95,42.27,61.06,107.22,144.8,51.41
Cgl0944,0.83,0.29,0.45,1.09,0.51,0.98
Cgl0945,81.89,61.05,85.53,23.76,24.42,17.6
Cgl0946,18.13,14.74,20.37,9.55,10.79,2.3
Cgl0947,35.41,22.92,40.8,20.69,20.03,6.89
Cgl0948,22.15,14.89,21.02,26.16,28.52,9.53
Cgl0949,8.65,1.46,10.52,238.52,185.47,68.74
Cgl0951,2.39,4.52,4.65,23.54,27.57,13.03
Cgl0952,6.4,5.23,4.07,69.62,41.19,59.33
Cgl0953,3.28,3.5,2.75,12.76,12.53,7.14
Cgl0954,9.91,7.33,13.61,82.02,72.37,45.59
Cgl0955,2.42,0,2.19,12.81,12.18,6.81
Cgl0956,25.82,9.64,19.86,62.47,41.76,24.39
Cgl0959,1.15,0.25,1.03,8.93,9.78,1.42
Cgl0958,4.9,0.61,3.48,8.42,7.6,5.72
Cgl0960,12.87,7.39,12.82,26.68,32.26,23.08
Cgl0961,2.04,0.89,1.53,12.43,12.04,5.72
Cgl0962,6.54,1.37,2.81,3.75,3.59,4.01
Cgl0963,66.55,57.58,62.12,72.09,78.01,47.19
Cgl0964,84.74,69.69,92.77,166.48,119.12,114.34
Cgl0965,60.73,45.74,63.33,146.09,111.18,99.14
Cgl0966,16.87,13.08,16.27,73.92,91.64,42.23
Cgl0967,26.39,12.55,28.86,133.43,146.63,61.9
Cgl0968,4.46,4.03,2.08,9.83,16.19,8.71
Cgl0969,2.87,0,0,16.73,9.33,4.26
Cgl0970,13.16,9.42,15.33,13.82,10.6,11.32
Cgl0971,15.33,6.24,2.97,12.27,9.71,7.05
Cgl0972,16.04,10.78,14,260.1,174.91,276.17
Cgl0973,1.86,1.87,0.72,3.2,3.19,1.71
Cgl0974,2138.43,1686.49,2135.43,7818.42,7078.83,3401.67
Cgl0975,40.89,33.55,37.26,81,70.01,39.39
Cgl0976,19.08,2.9,8.62,117.57,180.77,33.26
Cgl0977,32.26,13.87,39.42,142.01,251.55,59.32
Cgl0978,0.44,0,0,0.24,0.77,0.11
Cgl0979,2.06,0,0.93,3.94,8.21,2.04
Cgl0980,3.74,0.55,0.56,3.41,1.1,1.85
Cgl0981,0,0,0,1.74,0.47,3.15
Cgl0982,3.68,3.95,14.78,29.07,54.49,17.73
Cgl0983,142.5,129.77,159.69,2020.97,1507.01,1411.37
Cgl0985,35.07,24.05,34.52,100.53,121.8,59.68
Cgl0986,24.44,16.33,30.13,128.1,176.99,41.31
Cgl0987,18.02,12.13,15.52,280.2,396.14,81.16
Cgl0988,57.89,24.88,48.72,153.04,150.19,71.63
Cgl0989,81.22,57.87,64.75,146.03,139.25,79.2
Cgl0990,8.32,4.87,7.52,53.4,55.03,17.32
Cgl0991,10.57,7.18,12.88,65.42,66.64,16.62
Cgl0993,14.05,9.24,11.63,78.92,74.21,23.58
Cgl0995,6.08,3.68,6.62,26.92,27.5,13.7
Cgl0996,748.52,693.85,714.8,1933.85,1805.47,1487.58
Cgl0997,25.25,14.29,24.09,15.96,17.06,16.46
Cgl0998,2.52,4.67,4.31,5.98,7.59,1.95
Cgl1000,21.09,6.32,17.19,351.19,419.58,74.13
Cgl0999,4.83,1.06,4.36,14.35,14.31,2.99
Cgl1001,19.99,25.14,19.42,49.49,59.03,17.93
Cgl1002,209.22,150.27,244.85,436.93,891.14,305.16
Cgl1003,134.85,95.05,124.32,497.15,889.9,277.81
Cgl1004,143.03,122.15,134.02,683.34,1317.4,445.93
Cgl1005,141.69,113.64,144.94,650.16,1299.28,397.76
Cgl1008,3.11,3.55,6.19,6.13,5.11,4.63
Cgl1009,25.85,15.21,28.07,90.69,96.68,41.41
Cgl1010,844.17,696.15,994.11,631.52,763.33,343.72
Cgl1011,17.39,11.62,20.56,734.39,578.7,265.74
Cgl1012,0,0,0,0,0.34,0.38
Cgl1013,0,0,0,0,1.61,0
Cgl1014,13.29,12.6,32.77,76.2,73.58,42.35
Cgl1015,14.89,12.2,21.11,86.32,51.81,65.88
Cgl1016,19.93,15.01,17.32,95.62,46.78,66.04
Cgl1017,22.57,16.82,25.29,169.9,100.16,89.03
Cgl1018,37.66,19.85,38.07,262.64,247.31,147
Cgl1019,167.51,82.4,187.42,684.21,854.1,187.95
Cgl1020,10.66,5.3,8.99,38.48,32.62,19.37
Cgl1021,0.75,0.28,2.03,41.03,51.05,21.66
Cgl1023,2.68,7.05,1.61,19.05,20.6,12.83
Cgl1024,40.57,10.17,24.68,169.28,144.26,39.78
Cgl1025,27.29,16.52,27.58,107.8,112.26,59.13
Cgl1026,138.91,103.38,130.53,870.74,813.91,448.4
Cgl1027,50.99,53.67,52.11,199.12,172.33,116.9
Cgl1028,59.32,46.08,57.94,129.19,118.56,98.9
Cgl1029,8.9,10.74,3.02,57.19,24.67,18.19
Cgl1030,77.4,64.19,83.82,226.58,212.78,161.94
Cgl1031,17.47,10.84,13.69,12.07,14.03,6.61
Cgl1032,18.94,8.72,8.47,80.49,105.85,29.08
Cgl1033,15.62,8.93,19.62,118.77,125.82,47.75
Cgl1034,30.53,27.42,37.28,140.45,121.16,76.93
Cgl1035,2.02,0.71,1.46,5.74,4.66,1.2
Cgl1036,0,0,0,0.4,0.65,0.18
Cgl1037,3.54,0.89,3.2,13.17,13.37,4.84
Cgl1038,9.63,8.21,9.85,39.05,36.6,23.59
Cgl1039,22.31,14.95,23.15,69.69,68.62,38.77
Cgl1040,5.5,5.63,6.63,48.15,34.57,8.18
Cgl1041,4.24,1.06,2.19,14.58,11.83,1.8
Cgl1044,0,1.22,5.01,23.48,14.13,24.02
Cgl1046,2.21,0.48,1.99,45.26,42.09,8.2
Cgl1047,3.25,0.71,3.3,13.78,15.68,1.81
Cgl1048,1.27,0,0.92,1.66,1.24,0.25
Cgl1049,0,0,0,0.34,0.84,0.31
Cgl1050,1.55,1.63,0.28,5.76,4.95,2.76
Cgl1051,67.65,47.55,68.36,190.82,204.22,165.7
Cgl1052,0,0,0,1.16,0.38,0.84
Cgl1053,0,0,0,0.49,0.59,0.44
Cgl1054,0,0,1.09,0.99,1.88,0.6
Cgl1055,6.53,4.58,8.25,24.27,14.47,5.82
Cgl1056,72.67,42.95,87.8,222.47,193.14,73.38
Cgl1057,178.16,125.76,217.1,385.92,406.85,198.37
Cgl1058,1.45,0.76,0,5.23,2.06,0.57
Cgl1059,1.44,1.51,2.6,9.59,9.69,3.13
Cgl1060,78.28,33.16,72.86,207.7,160.77,83.08
Cgl1061,37.04,18.91,30.43,81.82,79.48,37.74
Cgl1062,1.02,2.69,2.77,28.19,16.75,8.09
Cgl1063,11.81,3.11,6.4,34.53,29.84,14.62
Cgl1064,14.09,4.12,10.03,95.47,119.46,24.53
Cgl1065,8.17,6.88,7.98,12.04,10.95,7.44
Cgl1066,0,0.55,0.28,0.08,0.14,0.77
Cgl1067,7.38,7.46,7.86,33.81,39.74,20.89
Cgl1068,12.85,4.25,9.85,61.77,66.33,38.19
Cgl1069,12.98,8.05,7.43,123.89,108.19,44.13
Cgl1070,5.37,2.49,0.86,26.59,24.64,12.51
Cgl1071,5.95,3.29,7.76,16.87,13.49,7.1
Cgl1072,44.25,28.14,43.62,133.51,115.46,57.55
Cgl1073,11.81,9.84,10.66,10.33,9.95,5.26
Cgl1074,32.89,22.43,29.53,46.26,48.6,33.63
Cgl1075,20.17,6.47,30.21,630.16,494.69,343.59
