reactions,kcat
SPMDAT2_num5,7.802865546
G3PAT180_num2,7.802865546
KARA1_reverse,7.802865546
SPMDAT2_num6,7.802865546
PY5PSH_reverse,7.802865546
G3PAT180_num4,7.802865546
ILETA_reverse,7.802865546
G3PAT180_num3,7.802865546
3OAS100_num2,7.802865546
SPMDAT2_num2,7.802865546
3OAS120_num3,7.802865546
FFSD_num2,7.802865546
3OAS120_num2,7.802865546
LEUTAi_reverse,7.802865546
KAS14_num1,7.802865546
HSST_num2,7.798863784
DASYN161,7.798863784
MCOATA_num5,7.798863784
PA180abcpp_num1,7.798863784
MCOATA_num1,7.673788092
UAGDP,7.544131855
PA140abcpp_num1,7.525238119
ACOATA_num5,7.525238119
PA141abcpp_num1,7.525238119
KAS14_num2,7.525238119
DASYN120,7.525238119
2METS_reverse,7.352030139
ASPTA_reverse,7.352030139
THDPS_num1,7.282025758
DHDPRy,7.26553543
NADPHQR3_num1,7.26553543
PFK,7.26553543
PGK,7.26553543
LDH_D,7.26553543
HEX1,7.26553543
GLGC,7.26553543
DXPRIi,7.26553543
ALATA_L,7.26553543
ACOAD5f_reverse,7.26553543
ANPRT,7.26553543
AMPTASEPG_num1,7.158534967
ILEt2rpp_reverse,7.158534967
3OAR121,7.154324253
MI2DH_num2,7.15181708
CYANSTpp_num5,7.15181708
CYTBD2pp,7.15181708
FHL,7.15181708
ALCD2x_num1,7.15181708
ACKr,7.15181708
ASPCT,7.145941848
DHORD5,7.145941848
CTPS2,7.145941848
UAMAGS,7.06763135
CHTBSptspp,7.061980439
ILETA,7.050350026
ORPT,7.048628768
AMPTASECG_num2,7.010475053
AGPAT180,7.010475053
MCPST_num2,7.010475053
MCPST_num3,7.010475053
G3PAT180_num1,7.010475053
ACPPAT161,7.010475053
GP4GH,6.982695162
ARGTRS_num1,6.918899998
PA140abcpp_num2,6.918899998
NO3R2bpp,6.867701767
UPPDC1,6.816981509
FACOAL80t2pp_num2,6.816981509
UAGCVT_num2,6.816981509
3OAR141,6.757524285
DMPPS,6.749474218
METSOXR1_num1,6.694654338
PPGPPDP,6.694654338
FMNAT,6.694654338
AMPMS2,6.694098676
AMPTASECG_num1,6.673011932
3OAR160_reverse,6.673011932
PGP141abcpp_num1,6.641564318
MPTG2_num4,6.641564318
HXPRT_num2,6.641564318
GSNHYDRO_num2,6.641564318
PGP140abcpp_num1,6.641564318
MTHFC_reverse,6.639214732
PGL,6.639214732
LEUTAi,6.639183227
ALATA_L_reverse,6.639183227
ALDD2x,6.57888453
ACOAD4f_reverse,6.57888453
OCTNLL,6.569008086
EAR100x,6.552305959
EAR100y,6.552305959
G3PAT141_num5,6.532364071
VALTA,6.532364071
MI2DH_num1,6.532364071
G3PAT141_num3,6.532364071
G3PAT141_num4,6.532364071
G3PAT141_num2,6.532364071
G3PAT160_num3,6.532364071
U23GAAT_num1,6.532364071
G3PAT160_num2,6.532364071
G3PD2_reverse,6.515943384
ALCD19_reverse_num1,6.515943384
3OAR100,6.476313453
MALS,6.468117443
HMBS,6.428761406
ACOATA_num3,6.392743772
ACOATA_num4,6.392743772
APH140,6.392743772
PGP180abcpp_num1,6.384346947
DAPDC_num2,6.384346947
NADPHQR4_num4,6.384346947
NADPHQR4_num3,6.384346947
ALCD2x_num2,6.384346947
DPCOAK,6.321836411
ACOTA,6.321162244
GLUNATF,6.321162244
ACODA,6.321162244
3OAR161,6.310317889
3OAR60,6.301542958
SFRD,6.242859262
G3PAT140_num5,6.242859262
ASNN,6.241720431
BETALDHx,6.236296388
BETALDHy,6.236296388
3OAR140,6.219882311
NAMNPP_reverse,6.136826708
PROTRS_num1,6.136826708
ACt2rpp_reverse,6.12486614
MSDH_num1,6.12486614
KARA1,6.123089166
MPTG2_num3,6.100909884
MPTG2_num2,6.100909884
EAR120x,6.081186311
EAR120y,6.081186311
MPTS,6.068555777
WCOS_num2,6.066441308
ACPPAT160,6.066441308
AGPAT161,6.066441308
G3PAT161_num1,6.066441308
WCOS_num3,6.066441308
UPP3MT_num2,6.066441308
KAS15_num3,6.055162162
PA161abcpp_num1,6.055162162
PA160abcpp_num1,6.055162162
MCOATA_num2,6.055162162
DASYN141,6.055162162
RBFK_reverse,6.054549826
GF6PTA,6.054549826
MTHFD_reverse,6.054549826
M1PD,6.054549826
FA140ACPHi_num2,6.054294941
FA100ACPHi_num2,6.054294941
MECDPDH2,6.054294941
3OAR160,6.027749713
PGP161abcpp_num1,5.999649427
NADPHQR3_num4,5.999649427
NADPHQR3_num3,5.999649427
NADPHQR3_num2,5.999649427
NADPHQR4_num2,5.999649427
GLCATr_reverse,5.974263364
HCO3E_reverse,5.974263364
KAS14_num3,5.895222752
KAS15_num2,5.895222752
DASYN140,5.895222752
GAPD_reverse_num1,5.878370023
PGSA181,5.878370023
MI2DHT_reverse,5.878370023
UAGAAT_reverse_num1,5.878370023
GLYCDx,5.859010322
MDDCP3pp,5.81330335
G3PAT161_num4,5.804048193
PGP140abcpp_num2,5.804048193
PSERT,5.794984649
POX,5.788243026
NADPHQR4_num1,5.788243026
3OAR80,5.776877405
GLUPRT,5.732941755
HSTPT_num1,5.732941755
ASNS1,5.732941755
GLUSy,5.732941755
GLNS_num1,5.732941755
ASPTRS,5.732941755
ADCS,5.732941755
ASNTRS_num1,5.732941755
DHFS,5.637901033
G3PAT181_num4,5.63123667
SDPTA_reverse,5.624729766
FFSD_num1,5.624729766
ILETRS_num1,5.574568157
PRAGSr,5.545329719
ASP1DC,5.513106996
AACPS6_num3,5.513106996
AACPS6_num2,5.513106996
3OAR120,5.493273495
AGDC,5.461993035
TRE6PS,5.445953514
3OAR40,5.384152255
ACHACB,5.323096838
3OAS80_num2,5.318051598
FACOAL100t2pp_num1,5.318051598
3OAS80_num3,5.318051598
AACPS8_num1,5.318051598
MDDCP4pp,5.310910321
GTPDPDP_num1,5.271519268
PGK_reverse,5.265054161
KARA2,5.263262165
UDPGPpp_num2,5.245528307
PGLYCP_num2,5.245528307
NAMNPP,5.2196584
3OAR180,5.21632755
TALA_reverse,5.198828362
ARBTptspp,5.198828362
FA160ACPHi_num2,5.197156825
GALUi_reverse_num1,5.116358701
PA181abcpp_num2,5.116358701
UGMDDS,5.039434611
MALTATr_reverse,5.039434611
G3PAT161_num2,5.036041555
3OAS180_num2,5.036041555
3OAS60_num3,5.036041555
PGP120abcpp_num2,5.036041555
TRATF_num2,5.036041555
3OAS161_num3,5.036041555
G3PAT181_num2,5.036041555
3OAS181_num2,5.036041555
