regulator,target,sign,data_type
Cgl2894,Cgl1610,-1,iModulon
Cgl2894,Cgl1611,-1,iModulon
Cgl0254,Cgl1674,-1,iModulon
Cgl1920,Cgl1716,-1,iModulon
Cgl0863,Cgl2064,-1,iModulon
Cgl0627,Cgl2115,-1,iModulon
Cgl0627,Cgl2116,-1,iModulon
Cgl0627,Cgl2117,-1,iModulon
Cgl0627,Cgl2118,-1,iModulon
Cgl0627,Cgl2119,-1,iModulon
Cgl0627,Cgl2121,-1,iModulon
Cgl2782,Cgl2155,-1,iModulon
Cgl0982,Cgl2195,-1,iModulon
Cgl0982,Cgl2196,-1,iModulon
Cgl0982,Cgl2197,-1,iModulon
Cgl0982,Cgl2198,-1,iModulon
Cgl0863,Cgl2221,-1,iModulon
Cgl1920,Cgl2230,-1,iModulon
Cgl2782,Cgl2286,-1,iModulon
Cgl2782,Cgl2287,-1,iModulon
Cgl2782,Cgl2288,-1,iModulon
Cgl0254,Cgl2331,-1,iModulon
Cgl2394,Cgl2399,-1,iModulon
Cgl2394,Cgl2401,-1,iModulon
Cgl0627,Cgl2401,-1,iModulon
Cgl2394,Cgl2402,-1,iModulon
Cgl0627,Cgl2402,-1,iModulon
Cgl2394,Cgl2404,-1,iModulon
Cgl0627,Cgl2404,-1,iModulon
Cgl0627,Cgl2406,-1,iModulon
Cgl0627,Cgl2407,-1,iModulon
Cgl0627,Cgl2408,-1,iModulon
Cgl0627,Cgl2411,-1,iModulon
Cgl0627,Cgl2412,-1,iModulon
Cgl0627,Cgl2414,-1,iModulon
Cgl0627,Cgl2417,-1,iModulon
Cgl0627,Cgl2436,-1,iModulon
Cgl0627,Cgl2437,-1,iModulon
Cgl0627,Cgl2439,-1,iModulon
Cgl0627,Cgl2440,-1,iModulon
Cgl0627,Cgl2441,-1,iModulon
Cgl0627,Cgl2442,-1,iModulon
Cgl0627,Cgl2443,-1,iModulon
Cgl0627,Cgl2444,-1,iModulon
Cgl0627,Cgl2445,-1,iModulon
Cgl0627,Cgl2446,-1,iModulon
Cgl0627,Cgl2447,-1,iModulon
Cgl0627,Cgl2448,-1,iModulon
Cgl0627,Cgl2449,-1,iModulon
Cgl2782,Cgl2450,-1,iModulon
Cgl2782,Cgl2451,-1,iModulon
Cgl0627,Cgl2512,-1,iModulon
Cgl0627,Cgl2513,-1,iModulon
Cgl0627,Cgl2514,-1,iModulon
