regulator,target,sign,data_type
Cgl0291,Cgl1009,-1,CoryNeRegNet
Cgl0291,Cgl2404,-1,CoryNeRegNet
Cgl0291,Cgl2406,-1,CoryNeRegNet
Cgl0291,Cgl1010,-1,CoryNeRegNet
Cgl0291,Cgl2409,-1,CoryNeRegNet
Cgl0291,Cgl2495,1,CoryNeRegNet
Cgl0291,Cgl2525,-1,CoryNeRegNet
Cgl0291,Cgl2911,1,CoryNeRegNet
Cgl0291,Cgl3059,-1,CoryNeRegNet
Cgl0291,Cgl1190,1,CoryNeRegNet
Cgl0291,Cgl1538,1,CoryNeRegNet
Cgl0291,Cgl0279,-1,CoryNeRegNet
Cgl0291,Cgl1554,-1,CoryNeRegNet
Cgl0291,Cgl2061,-1,CoryNeRegNet
Cgl0291,Cgl0291,-1,CoryNeRegNet
Cgl0291,Cgl2573,1,CoryNeRegNet
Cgl0291,Cgl2574,1,CoryNeRegNet
Cgl0291,Cgl0694,-1,CoryNeRegNet
Cgl0291,Cgl3021,-1,CoryNeRegNet
Cgl0291,Cgl0184,1,CoryNeRegNet
Cgl0291,Cgl0695,-1,CoryNeRegNet
Cgl0291,Cgl0696,-1,CoryNeRegNet
Cgl0291,Cgl0185,-1,CoryNeRegNet
Cgl0291,Cgl0829,-1,CoryNeRegNet
Cgl0291,Cgl0930,-1,CoryNeRegNet
Cgl0291,Cgl1159,-1,CoryNeRegNet
Cgl0291,Cgl1407,-1,CoryNeRegNet
Cgl0291,Cgl0286,-1,CoryNeRegNet
Cgl0291,Cgl0931,-1,CoryNeRegNet
Cgl0291,Cgl1465,1,CoryNeRegNet
Cgl0291,Cgl1566,1,CoryNeRegNet
Cgl0291,Cgl0932,-1,CoryNeRegNet
Cgl0291,Cgl1933,-1,CoryNeRegNet
Cgl0291,Cgl1935,-1,CoryNeRegNet
Cgl0291,Cgl0287,-1,CoryNeRegNet
Cgl0291,Cgl0933,-1,CoryNeRegNet
Cgl0291,Cgl1950,-1,CoryNeRegNet
Cgl0291,Cgl1952,-1,CoryNeRegNet
Cgl0291,Cgl0934,-1,CoryNeRegNet
Cgl0291,Cgl2189,1,CoryNeRegNet
Cgl0291,Cgl2331,-1,CoryNeRegNet
Cgl0291,Cgl0288,-1,CoryNeRegNet
Cgl0291,Cgl0995,-1,CoryNeRegNet
Cgl0291,Cgl2385,-1,CoryNeRegNet
Cgl0291,Cgl2405,-1,CoryNeRegNet
Cgl0291,Cgl1076,-1,CoryNeRegNet
Cgl0291,Cgl2407,-1,CoryNeRegNet
Cgl0291,Cgl2485,-1,CoryNeRegNet
Cgl0291,Cgl0289,-1,CoryNeRegNet
Cgl0291,Cgl1077,-1,CoryNeRegNet
Cgl0291,Cgl2668,-1,CoryNeRegNet
Cgl0291,Cgl2680,-1,CoryNeRegNet
Cgl0291,Cgl1158,-1,CoryNeRegNet
Cgl0291,Cgl2681,-1,CoryNeRegNet
Cgl0291,Cgl2908,-1,CoryNeRegNet
Cgl0291,Cgl1737,-1,CoryNeRegNet
Cgl0291,Cgl2917,-1,CoryNeRegNet
Cgl0291,Cgl2918,-1,CoryNeRegNet
Cgl0291,Cgl0374,1,CoryNeRegNet
Cgl0291,Cgl0369,-1,CoryNeRegNet
Cgl0291,Cgl1934,-1,CoryNeRegNet
Cgl0291,Cgl2079,-1,CoryNeRegNet
Cgl0291,Cgl0370,-1,CoryNeRegNet
Cgl0291,Cgl2188,1,CoryNeRegNet
Cgl0291,Cgl2190,1,CoryNeRegNet
Cgl0291,Cgl0371,-1,CoryNeRegNet
Cgl0291,Cgl2863,-1,CoryNeRegNet
Cgl0291,Cgl0159,-1,CoryNeRegNet
Cgl0291,Cgl0161,-1,CoryNeRegNet
Cgl0291,Cgl0372,-1,CoryNeRegNet
Cgl0291,Cgl0163,-1,CoryNeRegNet
Cgl0291,Cgl0164,-1,CoryNeRegNet
Cgl0291,Cgl0373,-1,CoryNeRegNet
Cgl0291,Cgl2912,-1,CoryNeRegNet
Cgl0291,Cgl1163,-1,CoryNeRegNet
Cgl0291,Cgl1156,-1,CoryNeRegNet
Cgl0291,Cgl1542,-1,CoryNeRegNet
Cgl0291,Cgl2913,-1,CoryNeRegNet
Cgl0291,Cgl0067,-1,CoryNeRegNet
Cgl0291,Cgl0158,-1,CoryNeRegNet
Cgl0291,Cgl0160,-1,CoryNeRegNet
Cgl0291,Cgl0162,-1,CoryNeRegNet
Cgl0291,Cgl0165,-1,CoryNeRegNet
Cgl0291,Cgl0198,-1,CoryNeRegNet
Cgl0291,Cgl0199,-1,CoryNeRegNet
Cgl0291,Cgl0479,-1,CoryNeRegNet
Cgl0291,Cgl0480,-1,CoryNeRegNet
Cgl0291,Cgl1187,1,CoryNeRegNet
Cgl0291,Cgl0481,-1,CoryNeRegNet
Cgl0291,Cgl0657,-1,CoryNeRegNet
Cgl0291,Cgl0658,-1,CoryNeRegNet
Cgl0291,Cgl0659,-1,CoryNeRegNet
Cgl0291,Cgl1271,-1,CoryNeRegNet
Cgl0291,Cgl0951,-1,CoryNeRegNet
Cgl0291,Cgl1185,-1,CoryNeRegNet
Cgl0291,Cgl1189,1,CoryNeRegNet
Cgl0291,Cgl1585,-1,CoryNeRegNet
Cgl0291,Cgl0689,-1,CoryNeRegNet
Cgl0291,Cgl1272,-1,CoryNeRegNet
Cgl0291,Cgl1634,-1,CoryNeRegNet
Cgl0291,Cgl2463,-1,CoryNeRegNet
Cgl0291,Cgl2556,1,CoryNeRegNet
Cgl0291,Cgl2560,1,CoryNeRegNet
Cgl0291,Cgl1386,-1,CoryNeRegNet
Cgl0291,Cgl2572,1,CoryNeRegNet
Cgl0291,Cgl2752,-1,CoryNeRegNet
Cgl0291,Cgl2753,-1,CoryNeRegNet
Cgl0291,Cgl2825,-1,CoryNeRegNet
Cgl0291,Cgl1541,-1,CoryNeRegNet
Cgl0291,Cgl3060,-1,CoryNeRegNet
Cgl0291,Cgl3061,-1,CoryNeRegNet
Cgl0291,Cgl1586,-1,CoryNeRegNet
Cgl0291,Cgl0708,-1,CoryNeRegNet
Cgl0291,Cgl2060,-1,CoryNeRegNet
Cgl0291,Cgl2566,-1,CoryNeRegNet
Cgl0291,Cgl2575,1,CoryNeRegNet
Cgl0291,Cgl2796,-1,CoryNeRegNet
Cgl0291,Cgl0709,-1,CoryNeRegNet
Cgl0291,Cgl3022,-1,CoryNeRegNet
Cgl0291,Cgl1569,1,CoryNeRegNet
Cgl0291,Cgl0768,1,CoryNeRegNet
Cgl0291,Cgl1951,-1,CoryNeRegNet
Cgl0291,Cgl1953,-1,CoryNeRegNet
Cgl0291,Cgl0728,-1,CoryNeRegNet
Cgl0291,Cgl0766,-1,CoryNeRegNet
Cgl0291,Cgl1186,1,CoryNeRegNet
Cgl0291,Cgl2194,1,CoryNeRegNet
Cgl0291,Cgl0828,1,CoryNeRegNet
Cgl0291,Cgl0839,-1,CoryNeRegNet
Cgl0291,Cgl0846,-1,CoryNeRegNet
Cgl0291,Cgl2377,-1,CoryNeRegNet
Cgl0291,Cgl2214,-1,CoryNeRegNet
Cgl0291,Cgl2864,-1,CoryNeRegNet
Cgl0291,Cgl2887,-1,CoryNeRegNet
Cgl0291,Cgl2938,-1,CoryNeRegNet
Cgl0291,Cgl2939,-1,CoryNeRegNet
Cgl0291,Cgl0769,1,CoryNeRegNet
Cgl0291,Cgl1250,1,CoryNeRegNet
Cgl0291,Cgl2383,-1,CoryNeRegNet
Cgl0291,Cgl3025,-1,CoryNeRegNet
Cgl0291,Cgl3053,1,CoryNeRegNet
Cgl0291,Cgl2384,-1,CoryNeRegNet
Cgl0291,Cgl1360,-1,CoryNeRegNet
Cgl0291,Cgl2397,-1,CoryNeRegNet
Cgl0291,Cgl2398,-1,CoryNeRegNet
Cgl0291,Cgl0819,1,CoryNeRegNet
Cgl0291,Cgl1383,-1,CoryNeRegNet
Cgl0291,Cgl2402,-1,CoryNeRegNet
Cgl0291,Cgl2410,-1,CoryNeRegNet
Cgl0291,Cgl1384,-1,CoryNeRegNet
Cgl0291,Cgl2523,1,CoryNeRegNet
Cgl0291,Cgl2807,-1,CoryNeRegNet
Cgl0291,Cgl0831,-1,CoryNeRegNet
Cgl0291,Cgl1540,-1,CoryNeRegNet
Cgl0291,Cgl1587,-1,CoryNeRegNet
