,max_E,min_E
ME2,0.0068340181234818765,0.00683401812349618
PGL,0.010135374013518106,0.010135374013548602
DHDPRy,0.0037627770834648116,0.003762777083464975
CYTBO3_4pp,0.0027694961524065372,0.0027694961524289364
GND,0.002061555891557496,0.0020615558915636992
