,flux,z,f,enz,met_concentration,reaction,gpr
ATPS4rpp,33.55166060647849,1.0,2.250539643433111,0.005940613935562573,;adp_c : 7.4895658057503126e-06;atp_c : 7.489565805750308e-05;h2o_c : 1.0;h_c : 1.0;h_e : 1.0;pi_c : 0.00016828720826797352,adp_c + 4.0 h_e + pi_c --> atp_c + h2o_c + 3.0 h_c,Cgl1213 and Cgl1211 and Cgl1210 and Cgl1208 and Cgl1212 and Cgl1209 and Cgl1207 and Cgl1206
CYTBO3_4pp,20.602712433470003,1.0,110.34580036177074,0.018440476343601183,;h2o_c : 1.0;h_c : 1.0;h_e : 1.0;o2_c : 0.00020000000008328362;q8_c : 4.999999992621078e-07;q8h2_c : 0.02000000000856292,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_e + q8_c,Cgl2194 and Cgl2523 and Cgl2195 and Cgl2192
H2Otpp_reverse,20.169292463299847,1.0,-9999.0,-9999.0,;h2o_c : 1.0;h2o_e : 1.0,h2o_c --> h2o_e,
EX_h2o_e,20.169292463299847,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
NADH16pp,18.16055944259,1.0,97.73291206360335,0.001909627701639327,;h_c : 1.0;h_e : 1.0;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;q8_c : 4.999999992621078e-07;q8h2_c : 0.02000000000856292,4.0 h_c + nadh_c + q8_c --> 3.0 h_e + nad_c + q8h2_c,Cgl2729 and Cgl2731 and Cgl0269
EX_co2_e,12.031510879520777,1.0,-9999.0,-9999.0,;co2_e : 1.0,co2_e --> ,
CO2tpp,12.031510879520777,1.0,-9999.0,-9999.0,;co2_c : 9.999996122290448e-05;co2_e : 1.0,co2_c --> co2_e,
O2tpp,10.301356216735002,1.0,-9999.0,-9999.0,;o2_c : 0.00020000000008328362;o2_e : 1.0,o2_e --> o2_c,
EX_o2_e_reverse,10.301356216735002,1.0,-9999.0,-9999.0,;o2_e : 1.0, --> o2_e,
PGK,7.003635206355747,1.0,-8.486380882991376,0.0007781816895950832,;13dpg_c : 4.999999992621078e-07;3pg_c : 0.0025809381554327167;adp_c : 7.4895658057503126e-06;atp_c : 7.489565805750308e-05,13dpg_c + adp_c --> 3pg_c + atp_c,Cgl1587
GAPD_num1,7.003635206355747,1.0,-8.486380882991394,0.011833455423921137,;13dpg_c : 4.999999992621078e-07;g3p_c : 1.1499580751374831e-05;h_c : 1.0;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;pi_c : 0.00016828720826797352,g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c,Cgl0937
ENO,6.641713719764992,1.0,8.48638088299138,0.0012519004950557672,;2pg_c : 0.00016477495892498734;h2o_c : 1.0;pep_c : 2.7725342634260787e-05,2pg_c --> h2o_c + pep_c,Cgl0974
PGM_num4,6.641713719764992,1.0,2.7956738295861143,-9999.0,;2pg_c : 0.00016477495892498734;3pg_c : 0.0025809381554327167,3pg_c --> 2pg_c,
PDH,5.790225209556105,1.0,26.674007462759704,0.00753887894356871,;accoa_c : 4.999999992621078e-07;co2_c : 9.999996122290448e-05;coa_c : 4.999999992621078e-07;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;pyr_c : 4.999999992621078e-07,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,Cgl1129 and Cgl0366 and Cgl2207 and Cgl2248
EX_glc_e_reverse,4.540570654508509,1.0,-9999.0,-9999.0,;glc__D_e : 1.0, --> glc__D_e,
GLCptspp,4.540570654508509,1.0,78.91782831146006,-9999.0,;g6p_c : 0.00014129997101680933;glc__D_e : 1.0;pep_c : 2.7725342634260787e-05;pyr_c : 4.999999992621078e-07,glc__D_e + pep_c --> g6p_c + pyr_c,Cgl3036
MDH,3.34029623498364,1.0,-2.749763949290589,0.00039554103702722093,;h_c : 1.0;mal__L_c : 0.0003234608660865559;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;oaa_c : 4.999999992621078e-07,mal__L_c + nad_c --> h_c + nadh_c + oaa_c,Cgl2380
FBA,3.212590290647559,1.0,0.3315180666270088,0.00440207426352331,;dhap_c : 3.903600076587464e-06;fdp_c : 4.999999992621078e-07;g3p_c : 1.1499580751374831e-05,fdp_c --> dhap_c + g3p_c,Cgl2770
PFK,3.212590290647559,1.0,24.838366954831635,0.0008299589337497971,;adp_c : 7.4895658057503126e-06;atp_c : 7.489565805750308e-05;f6p_c : 4.999999992621078e-07;fdp_c : 4.999999992621078e-07;h_c : 1.0,atp_c + f6p_c --> adp_c + fdp_c + h_c,Cgl1250
TPI,3.1768048048219173,1.0,-8.4863808829914,4.330989243422685e-06,;dhap_c : 3.903600076587464e-06;g3p_c : 1.1499580751374831e-05,dhap_c --> g3p_c,Cgl1586
CS_num1,2.7340185062157962,1.0,21.844040784417754,0.0006234465942756173,;accoa_c : 4.999999992621078e-07;cit_c : 0.0005706493736384206;coa_c : 4.999999992621078e-07;h2o_c : 1.0;h_c : 1.0;oaa_c : 4.999999992621078e-07,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,Cgl0696
ACONTa,2.7340185062157962,1.0,-8.486380882991384,0.00038097808471297695,;acon_C_c : 0.0004327114712983639;cit_c : 0.0005706493736384206;h2o_c : 1.0,cit_c --> acon_C_c + h2o_c,Cgl1540
ACONTb,2.7340185062157962,1.0,8.264360489508352,0.00038097808471297695,;acon_C_c : 0.0004327114712983639;h2o_c : 1.0;icit_c : 3.0217906372488956e-05,acon_C_c + h2o_c --> icit_c,Cgl1540
FUM,2.5194380520190163,1.0,-8.486380882991385,0.00037573440615667764,;fum_c : 3.1852632791316176e-06;h2o_c : 1.0;mal__L_c : 0.0003234608660865559,fum_c + h2o_c --> mal__L_c,Cgl1010
NH4tpp_num1,2.4648343755176443,1.0,-9999.0,-9999.0,;nh4_c : 0.02000000000856292;nh4_e : 1.0,nh4_e --> nh4_c,Cgl2061
EX_nh4_e_reverse,2.4648343755176443,1.0,-9999.0,-9999.0,;nh4_e : 1.0, --> nh4_e,
G6PDH2r,2.452090793558515,1.0,16.217592260750564,3.1465127602721966e-05,;6pgl_c : 4.999999992621078e-07;g6p_c : 0.00014129997101680933;h_c : 1.0;nadp_c : 4.999999992621078e-07;nadph_c : 4.999999992621083e-06,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,Cgl1576
PGL,2.452090793558515,1.0,-1.0287209815650122,0.004663737585114544,;6pgc_c : 0.02000000000856292;6pgl_c : 4.999999992621078e-07;h2o_c : 1.0;h_c : 1.0,6pgl_c + h2o_c --> 6pgc_c + h_c,Cgl1578
GND,2.452090793558515,1.0,30.75744196313005,0.0009486138037380324,;6pgc_c : 0.02000000000856292;co2_c : 9.999996122290448e-05;nadp_c : 4.999999992621078e-07;nadph_c : 4.999999992621083e-06;ru5p__D_c : 2.3456458950476238e-06,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,Cgl1452
SUCDi,2.3685465065188325,1.0,41.89579080554861,-9999.0,;fum_c : 3.1852632791316176e-06;q8_c : 4.999999992621078e-07;q8h2_c : 0.02000000000856292;succ_c : 4.999999992621078e-07,q8_c + succ_c --> fum_c + q8h2_c,
PGI,2.0089099306396823,1.0,12.05595921558221,2.680287925977543e-05,;f6p_c : 4.999999992621078e-07;g6p_c : 0.00014129997101680933,g6p_c --> f6p_c,Cgl0851
GLUDy,1.961776535513757,1.0,13.974007462759698,0.00011837076130510077,;akg_c : 4.999999992621078e-07;glu__L_c : 0.00017281807728138286;h2o_c : 1.0;h_c : 1.0;nadp_c : 4.999999992621078e-07;nadph_c : 4.999999992621083e-06;nh4_c : 0.02000000000856292,akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,Cgl2079
PYK_num2,1.9224018840422543,1.0,28.917592260750602,3.6781849056915655e-05,;adp_c : 7.4895658057503126e-06;atp_c : 7.489565805750308e-05;h_c : 1.0;pep_c : 2.7725342634260787e-05;pyr_c : 4.999999992621078e-07,adp_c + h_c + pep_c --> atp_c + pyr_c,Cgl2910
ICDHyr,1.9131603232511727,1.0,22.993081473621693,0.0025649312366782264,;akg_c : 4.999999992621078e-07;co2_c : 9.999996122290448e-05;icit_c : 3.0217906372488956e-05;nadp_c : 4.999999992621078e-07;nadph_c : 4.999999992621083e-06,icit_c + nadp_c --> akg_c + co2_c + nadph_c,Cgl0664
EX_h_e,1.868366592903569,1.0,-9999.0,-9999.0,;h_e : 1.0,h_e --> ,
ACBCP,1.8210792003933025,1.0,78.67127901843499,-9999.0,;accoa_c : 4.999999992621078e-07;bccp_c : 0.02000000000856292;cbccp_c : 4.999999992621078e-07;malcoa_c : 4.999999992621078e-07,accoa_c + cbccp_c --> bccp_c + malcoa_c,
BTNC,1.8210792003933025,1.0,137.92471251874383,-9999.0,;adp_c : 7.4895658057503126e-06;atp_c : 7.489565805750308e-05;bccp_c : 0.02000000000856292;cbccp_c : 4.999999992621078e-07;co2_c : 9.999996122290448e-05;h2o_c : 1.0;h_c : 1.0;pi_c : 0.00016828720826797352,atp_c + bccp_c + co2_c + h2o_c --> adp_c + cbccp_c + 2.0 h_c + pi_c,
MCOATA_num3,1.8210597262918335,1.0,-9999.0,-9999.0,;ACP_c : 4.999999992621096e-07;coa_c : 4.999999992621078e-07;malACP_c : 4.999999992621096e-07;malcoa_c : 4.999999992621078e-07,ACP_c + malcoa_c --> coa_c + malACP_c,Cgl2755
AKGDH,1.5463306928595093,1.0,-6.0547135188053005,0.0019458596155484875,;akg_c : 4.999999992621078e-07;co2_c : 9.999996122290448e-05;coa_c : 4.999999992621078e-07;nad_c : 4.999999992621083e-06;nadh_c : 4.999999992621078e-07;succoa_c : 0.02000000000856292,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,Cgl1129 and Cgl0366 and Cgl2207 and Cgl2248
SUCOAS,1.4777370458594143,1.0,34.597088936458135,0.0007831476638742705,;adp_c : 7.4895658057503126e-06;atp_c : 7.489565805750308e-05;coa_c : 4.999999992621078e-07;pi_c : 0.00016828720826797352;succ_c : 4.999999992621078e-07;succoa_c : 0.02000000000856292,adp_c + pi_c + succoa_c --> atp_c + coa_c + succ_c,Cgl2566 and Cgl2565
RPE,1.2787171718156194,1.0,7.38638088299138,6.363046814734251e-06,;ru5p__D_c : 2.3456458950476238e-06;xu5p__D_c : 4.999999992621078e-07,ru5p__D_c --> xu5p__D_c,Cgl1598
RPI_reverse,1.1733736217428956,1.0,8.48638088299138,7.612239428634975e-07,;r5p_c : 4.999999992621078e-07;ru5p__D_c : 2.3456458950476238e-06,ru5p__D_c --> r5p_c,Cgl2423
PPKr_reverse,1.0200729653518932,1.0,-8.486380882991396,-9999.0,;adp_c : 7.4895658057503126e-06;atp_c : 7.489565805750308e-05;pi_c : 0.00016828720826797352;ppi_c : 0.02000000000856292,adp_c + ppi_c --> atp_c + pi_c,
ICL,0.8208581829646238,1.0,11.767086938960277,0.00576252136119424,;glx_c : 0.02000000000856292;icit_c : 3.0217906372488956e-05;succ_c : 4.999999992621078e-07,icit_c --> glx_c + succ_c,Cgl2331
MALS,0.8208581829646238,1.0,49.836851885687246,0.000478355584478219,;accoa_c : 4.999999992621078e-07;coa_c : 4.999999992621078e-07;glx_c : 0.02000000000856292;h2o_c : 1.0;h_c : 1.0;mal__L_c : 0.0003234608660865559,accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c,Cgl2330
