,flux,z,f,enz,met_concentration,reaction,gpr
CYTBDpp,23.35000000005936,1.0,110.3458003617705,0.020899438557647292,;h2o_c : 1.0;h_c : 1.0;h_e : 1.0;o2_c : 0.00020000000008324668;q8_c : 4.999999992621078e-07;q8h2_c : 0.02000000000856292,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c,Cgl2194 and Cgl2523 and Cgl2195 and Cgl2192
H2Otpp_reverse,15.56666666670404,1.0,-9999.0,-9999.0,;h2o_c : 1.0;h2o_e : 1.0,h2o_c --> h2o_e,
EX_h2o_e,15.56666666670404,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
CO2tpp,14.010000000032978,1.0,-9999.0,-9999.0,;co2_c : 9.196325214179022e-06;co2_e : 1.0,co2_c --> co2_e,
EX_co2_e,14.010000000032978,1.0,-9999.0,-9999.0,;co2_e : 1.0,co2_e --> ,
NADPHQR2_num4,12.453333333391594,1.0,109.60964597326662,0.0014084013887435633,;h_c : 1.0;nadp_c : 4.999999992621078e-07;nadph_c : 4.999999992621075e-06;q8_c : 4.999999992621078e-07;q8h2_c : 0.02000000000856292,h_c + nadph_c + q8_c --> nadp_c + q8h2_c,Cgl0203
O2tpp,11.67500000002968,1.0,-9999.0,-9999.0,;o2_c : 0.00020000000008324668;o2_e : 1.0,o2_e --> o2_c,
EX_o2_e_reverse,11.67500000002968,1.0,-9999.0,-9999.0,;o2_e : 1.0, --> o2_e,
SUCCt2_3pp,11.285833333366035,1.0,-9999.0,-9999.0,;h_c : 1.0;h_e : 1.0;succ_c : 4.999999992621078e-07;succ_e : 1.0,3.0 h_e + succ_e --> 3.0 h_c + succ_c,
SUCCt3pp,11.285833333366035,1.0,-9999.0,-9999.0,;h_c : 1.0;h_e : 1.0;succ_c : 4.999999992621078e-07;succ_e : 1.0,h_e + succ_c --> h_c + succ_e,
GND,9.340000000026382,1.0,6.3873616454657185,0.0036132646271553395,;6pgc_c : 0.0012347432651269035;co2_c : 9.196325214179022e-06;nadp_c : 4.999999992621078e-07;nadph_c : 4.999999992621075e-06;ru5p__D_c : 0.02000000000856292,6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,Cgl1452
PGL,9.340000000026382,1.0,6.387361645465717,0.01776415015280853,;6pgc_c : 0.0012347432651269035;6pgl_c : 5.47468036808955e-07;h2o_c : 1.0;h_c : 1.0,6pgl_c + h2o_c --> 6pgc_c + h_c,Cgl1578
