,max_concentration,min_concentration
nh4_c,-3.912023005,-3.9120233927472183
nadph_c,-3.9120230049999996,-12.206072647005959
nadp_c,-6.214608097994045,-14.508657740000004
thdp_c,-3.912023005,-3.912023392747212
26dap__M_c,-14.508657352252792,-14.508657740000011
