,Bottleneck_reactions
0,2pg_c
1,13dpg_c
2,atp_c
3,adp_c
4,pep_c
5,pi_c
6,aspsa_c
7,nadp_c
8,asp__L_c
9,g3p_c
10,4pasp_c
11,nad_c
12,nadh_c
13,nadph_c
14,3pg_c
