,max_concentration,min_concentration
13dpg_c,-14.508656189010868,-14.508657740000004
pi_c,-6.1082168883510795,-6.108218439340218
aspsa_c,-14.508656189010866,-14.508657740000004
fdp_c,-3.912023005,-3.912026106978276
dhap_c,-5.445734651006791,-5.445737752985066
4pasp_c,-11.566503876776355,-11.566505427765495
asp__L_c,-3.912023005,-3.9120245559891385
g3p_c,-9.160072426556946,-9.160073977546084
