,max_Df_complete
GAPD_num1,3.8792771231438508
ASAD_reverse,3.8792771231438508
ASPK,3.879277123143858
TPI,3.8792811231448283
FBA,3.8792811231448354
PGK,5.3823639220264745
PGM_num4,5.382363922026478
ENO,5.3930907988836125
ACONTa,15.649447858422146
ACONTb,15.649447858422146
PGI,18.459101831690745
PFK,18.459101831690745
ACKr,18.667087936396655
PYK_num2,20.075450720909103
PYRC,20.483791064018295
ASPTA_reverse,20.483791064018295
GLUDy,20.483791064018302
ME2,24.62380873260516
PTAr_reverse,27.30125069683935
DAPE,29.028720981565012
RPE,30.72872098156501
FUM,30.758720981565013
RPI_reverse,31.828720981565013
TKT2,44.51455216674423
PGL,51.4110809035905
